PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 3202959898, 9.232748985290527, -87.89002990722656, -35.146366119384766, 0, 0, 0, 0, 0, 0, 
1, 3202968231, 9.074857711791992, -87.89067840576172, -34.98331832885742, 9.859625816345215, -0.09892706573009491, 0.243365079164505, 1.199194312095642, -2.057950019836426, 0.9560896754264832, 
2, 3202976564, 9.001043319702148, -87.88816833496094, -34.90378189086914, 9.765653610229492, -0.11496221274137497, 0.25825247168540955, 1.2759603261947632, -1.8753719329833984, 0.7757143378257751, 
3, 3202984897, 8.878585815429688, -87.88650512695312, -34.775936126708984, 9.84211540222168, -0.09695369750261307, 0.2275446206331253, 1.2605407238006592, -1.8744498491287231, 0.7727174758911133, 
4, 3202993230, 8.827213287353516, -87.88483428955078, -34.719688415527344, 9.80359172821045, -0.11361133307218552, 0.2302970588207245, 1.1543951034545898, -1.9665583372116089, 0.6867304444313049, 
5, 3203001563, 8.74818229675293, -87.88400268554688, -34.636592864990234, 9.812873840332031, -0.1444859504699707, 0.24652187526226044, 1.0753239393234253, -1.930442214012146, 0.5829159021377563, 
6, 3203009896, 8.782272338867188, -87.88206481933594, -34.665523529052734, 9.791760444641113, -0.12823839485645294, 0.29041942954063416, 1.179138422012329, -1.9771112203598022, 0.3071530759334564, 
7, 3203018229, 8.786437034606934, -87.88105010986328, -34.66559600830078, 9.80096435546875, -0.14822828769683838, 0.22234047949314117, 1.1032434701919556, -2.0121777057647705, 0.2237275242805481, 
8, 3203026562, 8.85550308227539, -87.88058471679688, -34.73086929321289, 9.8177490234375, -0.10772564262151718, 0.24880583584308624, 1.042384147644043, -2.196420669555664, 0.17938929796218872, 
9, 3203034895, 8.898688316345215, -87.88105010986328, -34.77040100097656, 9.801190376281738, -0.12307179719209671, 0.24792851507663727, 1.0356988906860352, -2.1515190601348877, 0.06627683341503143, 
10, 3203043228, 8.984818458557129, -87.8803939819336, -34.852779388427734, 9.797830581665039, -0.10324712097644806, 0.2570883333683014, 1.036749005317688, -2.2251343727111816, 0.10697785764932632, 
11, 3203051561, 9.015583992004395, -87.88188171386719, -34.88044738769531, 9.794656753540039, -0.10149044543504715, 0.21932658553123474, 0.9568837881088257, -2.2730326652526855, 0.13914932310581207, 
12, 3203059894, 9.080831527709961, -87.88178253173828, -34.94216537475586, 9.822190284729004, -0.11255926638841629, 0.2540585696697235, 1.0234551429748535, -2.2718803882598877, 0.2068989872932434, 
13, 3203068227, 9.079739570617676, -87.88400268554688, -34.93756866455078, 9.790186882019043, -0.11424379050731659, 0.2416357398033142, 1.0293209552764893, -2.374285936355591, 0.3013130724430084, 
14, 3203076560, 9.094964981079102, -87.88483428955078, -34.94939041137695, 9.832939147949219, -0.09384443610906601, 0.2502796947956085, 1.0021953582763672, -2.3729286193847656, 0.4487486183643341, 
15, 3203084893, 9.041136741638184, -87.88650512695312, -34.8908805847168, 9.801169395446777, -0.08610638976097107, 0.27465328574180603, 1.138360619544983, -2.2185256481170654, 0.5177277326583862, 
16, 3203093226, 9.04543399810791, -87.8865966796875, -34.89122772216797, 9.784883499145508, -0.1006116047501564, 0.27160367369651794, 1.043920874595642, -2.2172446250915527, 0.4730052351951599, 
17, 3203101559, 8.988280296325684, -87.88816833496094, -34.83039093017578, 9.823513984680176, -0.09096737951040268, 0.22101722657680511, 1.0447406768798828, -2.250441312789917, 0.5345563292503357, 
18, 3203109892, 8.972972869873047, -87.8888168334961, -34.810302734375, 9.80894947052002, -0.1082848310470581, 0.22112713754177094, 1.1487343311309814, -2.294497489929199, 0.5761281847953796, 
19, 3203118225, 8.9354248046875, -87.88993072509766, -34.768409729003906, 9.818382263183594, -0.11201773583889008, 0.244676411151886, 1.1365163326263428, -2.225543975830078, 0.44751909375190735, 
20, 3203126558, 8.9494047164917, -87.89002990722656, -34.778038024902344, 9.804505348205566, -0.1154237687587738, 0.24581290781497955, 1.102705717086792, -2.231153726577759, 0.43402042984962463, 
21, 3203134891, 8.899581909179688, -87.89067840576172, -34.72390365600586, 9.811912536621094, -0.10815867781639099, 0.2684026062488556, 1.0959947109222412, -2.115582227706909, 0.4828155040740967, 
22, 3203143224, 8.901776313781738, -87.8897476196289, -34.72188949584961, 9.80321979522705, -0.11611516028642654, 0.2137041985988617, 1.0947908163070679, -2.118809700012207, 0.4695729613304138, 
