X,Y,Z
-948.332886,4089.412598,1098.684692
-948.200378,4089.338379,1098.85498
-948.089966,4089.259033,1098.969849
-948.003357,4089.174316,1099.02832
-947.940857,4089.083252,1099.031128
-947.901733,4088.987793,1098.97876
-947.883362,4088.891113,1098.872314
-947.882568,4088.797119,1098.712524
-947.895386,4088.711182,1098.501221
-947.917358,4088.640137,1098.239624
-947.943359,4088.5896,1097.930298
-947.968201,4088.565918,1097.575317
-947.986572,4088.574463,1097.176514
-947.99353,4088.62207,1096.736816
-947.984375,4088.715088,1096.258423
-947.955444,4088.859131,1095.744263
-947.903137,4089.05835,1095.197021
-947.825134,4089.318359,1094.619263
-947.719116,4089.641113,1094.013428
-947.583801,4090.02832,1093.38147
-947.41864,4090.479736,1092.725464
-947.224121,4090.993896,1092.047607
-947.002197,4091.568359,1091.349243
-946.755249,4092.19873,1090.632324
-946.48645,4092.881104,1089.897095
-946.199768,4093.61084,1089.143921
-945.898804,4094.381836,1088.373047
-945.58783,4095.189453,1087.585693
-945.270569,4096.029297,1086.782715
-944.951111,4096.897949,1085.965088
-944.632812,4097.791504,1085.133423
-944.319214,4098.706543,1084.288208
-944.013123,4099.640625,1083.429443
-943.71759,4100.591309,1082.557129
-943.435303,4101.553711,1081.67041
-943.169067,4102.527344,1080.768921
-942.921387,4103.508301,1079.852417
-942.694336,4104.498047,1078.920776
-942.489136,4105.494141,1077.973999
-942.305481,4106.497559,1077.012207
-942.142517,4107.51123,1076.035645
-941.997742,4108.53418,1075.044922
-941.868103,4109.571289,1074.040283
-941.750183,4110.624023,1073.022095
-941.640503,4111.692871,1071.990601
-941.536072,4112.78125,1070.946655
-941.434387,4113.888184,1069.891724
-941.333435,4115.016113,1068.827393
-941.23175,4116.163086,1067.756226
-941.127502,4117.33252,1066.680664
-941.018677,4118.523926,1065.605225
-940.903015,4119.740234,1064.533813
-940.777283,4120.98291,1063.472168
-940.638672,4122.256836,1062.425659
-940.483765,4123.564453,1061.399536
-940.309692,4124.909668,1060.398682
-940.114197,4126.296387,1059.426392
-939.895752,4127.724121,1058.484741
-939.653687,4129.193848,1057.574829
-939.388062,4130.70166,1056.696411
-939.09967,4132.244629,1055.848633
-938.790039,4133.818848,1055.029419
-938.461426,4135.416504,1054.236938
-938.117004,4137.033203,1053.469116
-937.760681,4138.660645,1052.723511
-937.396301,4140.292969,1051.998901
-937.02832,4141.927246,1051.294678
-936.661743,4143.560059,1050.612793
-936.301147,4145.189453,1049.955933
-935.951111,4146.81543,1049.328125
-935.615173,4148.435547,1048.7323
-935.295959,4150.05127,1048.171265
-934.994873,4151.657715,1047.645752
-934.712341,4153.251465,1047.154541
-934.448242,4154.828125,1046.694824
-934.202087,4156.379395,1046.261719
-933.972778,4157.896484,1045.848877
-933.759216,4159.373047,1045.449341
-933.559814,4160.798828,1045.056274
-933.373596,4162.16748,1044.662598
-933.199585,4163.473633,1044.263306
-933.037903,4164.712891,1043.854858
-932.889099,4165.883301,1043.435669
-932.75415,4166.984863,1043.007446
-932.633911,4168.019531,1042.573242
-932.529236,4168.989746,1042.137085
-932.440125,4169.900879,1041.704834
-932.366333,4170.759277,1041.281982
-932.306763,4171.569336,1040.873779
-932.259583,4172.338867,1040.484497
-932.221741,4173.072266,1040.11731
-932.189758,4173.773438,1039.773682
-932.158569,4174.444824,1039.453857
-932.123108,4175.087402,1039.15625
-932.077393,4175.702637,1038.876831
-932.015686,4176.287598,1038.610474
-931.932007,4176.843262,1038.349365
-931.821228,4177.365234,1038.085327
-931.677856,4177.853027,1037.80896
-931.497253,4178.304199,1037.51062
-931.274658,4178.71875,1037.181396
-931.00531,4179.093262,1036.812988
-930.684692,4179.430176,1036.399414
-930.308777,4179.728027,1035.935425
-929.874451,4179.987305,1035.417725
-929.380615,4180.208008,1034.84436
-928.82782,4180.390137,1034.215454
-928.218872,4180.533691,1033.532471
-927.558044,4180.638184,1032.79834
-926.851135,4180.70459,1032.017334
-926.10437,4180.733398,1031.195679
-925.324219,4180.723145,1030.339966
-924.5177,4180.67627,1029.458618
-923.692383,4180.591309,1028.560303
-922.857727,4180.468262,1027.654175
-922.024353,4180.306641,1026.751221
-921.204712,4180.105469,1025.862915
-920.41272,4179.865723,1025.002441
-919.664185,4179.586426,1024.184082
-918.976257,4179.268555,1023.423462
-918.366333,4178.912109,1022.737
-917.851624,4178.520508,1022.142273
-917.448853,4178.097656,1021.65625
-917.173767,4177.647461,1021.296387
-917.039917,4177.175781,1021.079407
-917.059021,4176.689453,1021.021484
-917.239258,4176.195312,1021.137207
-917.585571,4175.699707,1021.439087
-918.098999,4175.208496,1021.936035
-918.776794,4174.727051,1022.633301
-919.612915,4174.255859,1023.532532
-920.597473,4173.797363,1024.630859
-921.717896,4173.349121,1025.922241
-922.958435,4172.90918,1027.396606
-924.301514,4172.475586,1029.040527
-925.727966,4172.044434,1030.838257
-927.218323,4171.61084,1032.771851
-928.753296,4171.172852,1034.821899
-930.314758,4170.727051,1036.968628
-931.885681,4170.272461,1039.192139
-933.450562,4169.808105,1041.473145
-934.995972,4169.334473,1043.793579
-936.509705,4168.852051,1046.135864
-937.980774,4168.361328,1048.483398
-939.398499,4167.862305,1050.818726
-940.753357,4167.355957,1053.124268
-942.036133,4166.841309,1055.381714
-943.238831,4166.317871,1057.571655
-944.354004,4165.783203,1059.675415
-945.374634,4165.236328,1061.674438
-946.294312,4164.677246,1063.55127
-947.107483,4164.104492,1065.289673
-947.809631,4163.520996,1066.874756
-948.397461,4162.927734,1068.294434
-948.869263,4162.327637,1069.539429
-949.225708,4161.725098,1070.605713
-949.469971,4161.122559,1071.493042
-949.607422,4160.526855,1072.2052
-949.645325,4159.940918,1072.749878
-949.592224,4159.370605,1073.136963
-949.457031,4158.817383,1073.377808
-949.248962,4158.282715,1073.485107
-948.976318,4157.766602,1073.472412
-948.647827,4157.266113,1073.354126
-948.272156,4156.778809,1073.147095
-947.858704,4156.302734,1072.868774
-947.417725,4155.834473,1072.537964
-946.960083,4155.373047,1072.17334
-946.496765,4154.918457,1071.793335
-946.03772,4154.470703,1071.414307
-945.590454,4154.03125,1071.05127
-945.16095,4153.600586,1070.715332
-944.753662,4153.179199,1070.416138
-944.371643,4152.768066,1070.160767
-944.016724,4152.367676,1069.953735
-943.689087,4151.977539,1069.796021
-943.388062,4151.600098,1069.685181
-943.111633,4151.231934,1069.615967
-942.857666,4150.872559,1069.582031
-942.623291,4150.52002,1069.575806
-942.405701,4150.17041,1069.589478
-942.201538,4149.821777,1069.615234
-942.007812,4149.472656,1069.64502
-941.821411,4149.12207,1069.671509
-941.639771,4148.770508,1069.688354
-941.460571,4148.41748,1069.690308
-941.281799,4148.067871,1069.673828
-941.101257,4147.725098,1069.635254
-940.91748,4147.394531,1069.572632
-940.729675,4147.081055,1069.483521
-940.538147,4146.785645,1069.366089
-940.343933,4146.51123,1069.219482
-940.147888,4146.255859,1069.04248
-939.951416,4146.02002,1068.835205
-939.756104,4145.802734,1068.598145
-939.564331,4145.601074,1068.332153
-939.379333,4145.414062,1068.038818
-939.20459,4145.237305,1067.719604
-939.043823,4145.069336,1067.375732
-938.900146,4144.905273,1067.008667
-938.775879,4144.744141,1066.617798
-938.672119,4144.583008,1066.203125
-938.588867,4144.422363,1065.764648
-938.525818,4144.261719,1065.30249
-938.481689,4144.102539,1064.817749
-938.454834,4143.946777,1064.311646
-938.443359,4143.793945,1063.785034
-938.446106,4143.647949,1063.240234
-938.462097,4143.508301,1062.678955
-938.490723,4143.375488,1062.102905
-938.531433,4143.247559,1061.51416
-938.583069,4143.125977,1060.91394
-938.644043,4143.01123,1060.303955
-938.712708,4142.902344,1059.685181
-938.787109,4142.800781,1059.059082
-938.865967,4142.707031,1058.425903
-938.948181,4142.618164,1057.786011
-939.033142,4142.53418,1057.13916
-939.120361,4142.452637,1056.485596
-939.209106,4142.37207,1055.824585
-939.298401,4142.290039,1055.156372
-939.38739,4142.207031,1054.480591
-939.474731,4142.12207,1053.797729
-939.55957,4142.037109,1053.108154
-939.641113,4141.951172,1052.411377
-939.719177,4141.864258,1051.706421
-939.794006,4141.775879,1050.992798
-939.865662,4141.683594,1050.269653
-939.934387,4141.587402,1049.535767
-940.000305,4141.48584,1048.790161
-940.062805,4141.379395,1048.032104
-940.121521,4141.270508,1047.260254
-940.175659,4141.162109,1046.474609
-940.225098,4141.053223,1045.674438
-940.270203,4140.947266,1044.859741
-940.31134,4140.843262,1044.030884
-940.349731,4140.743164,1043.189331
-940.387146,4140.647949,1042.337402
-940.425354,4140.558105,1041.478882
-940.466187,4140.477051,1040.61731
-940.51123,4140.406738,1039.75647
-940.561768,4140.347656,1038.899536
-940.618652,4140.299316,1038.050171
-940.682434,4140.260254,1037.210327
-940.753601,4140.227051,1036.381104
-940.832275,4140.195312,1035.563843
-940.918213,4140.163574,1034.758789
-941.010742,4140.126953,1033.966309
-941.108459,4140.084961,1033.185669
-941.209106,4140.035156,1032.415649
-941.309814,4139.978516,1031.654297
-941.407349,4139.914062,1030.900146
-941.498291,4139.844727,1030.149902
-941.578674,4139.769043,1029.399536
-941.643982,4139.687012,1028.643311
-941.689453,4139.597656,1027.874512
-941.710022,4139.498047,1027.086426
-941.700439,4139.388184,1026.271973
-941.655701,4139.265137,1025.423828
-941.570312,4139.128418,1024.535889
-941.439758,4138.976074,1023.602356
-941.259705,4138.808105,1022.619507
-941.026794,4138.622559,1021.58429
-940.738647,4138.416992,1020.49469
-940.394226,4138.189453,1019.350159
-939.993286,4137.937988,1018.151306
-939.536804,4137.662598,1016.90033
-939.026428,4137.361816,1015.601624
-938.464844,4137.038574,1014.261353
-937.855713,4136.693848,1012.887268
-937.203735,4136.328125,1011.487732
-936.515137,4135.941895,1010.073059
-935.797852,4135.53418,1008.654236
-935.062012,4135.102051,1007.24353
-934.319458,4134.644531,1005.853882
-933.583374,4134.159668,1004.498962
-932.867981,4133.644043,1003.192566
-932.188049,4133.097656,1001.947388
-931.558044,4132.518555,1000.775696
-930.992371,4131.905762,999.688049
-930.504822,4131.254395,998.693298
-930.109131,4130.5625,997.799011
-929.818665,4129.82666,997.011414
-929.645691,4129.043457,996.335327
-929.601074,4128.210938,995.774658
-929.693481,4127.32666,995.332031
-929.929688,4126.387695,995.008118
-930.314209,4125.393555,994.802734
-930.848816,4124.344238,994.715088
-931.532654,4123.242188,994.744751
-932.361267,4122.088379,994.891785
-933.326172,4120.885742,995.155151
-934.414124,4119.637695,995.532898
-935.607117,4118.344727,996.020447
-936.882263,4117.010254,996.609741
-938.213074,4115.634277,997.289124
-939.570923,4114.218262,998.042725
-940.926575,4112.762695,998.850952
-942.252075,4111.26416,999.691833
-943.522644,4109.722656,1000.542419
-944.717285,4108.134277,1001.380554
-945.819702,4106.496094,1002.186279
-946.817993,4104.804199,1002.941589
-947.704407,4103.054199,1003.63147
-948.475464,4101.242188,1004.245422
-949.131531,4099.364258,1004.776611
-949.677307,4097.418457,1005.223877
-950.121033,4095.402344,1005.59082
-950.47406,4093.313721,1005.885986
-950.749451,4091.153076,1006.121521
-950.960266,4088.919678,1006.311279
-951.119141,4086.615967,1006.469238
-951.237244,4084.244629,1006.608154
-951.324768,4081.812012,1006.73999
-951.390625,4079.321777,1006.87561
-951.443176,4076.779785,1007.025391
-951.490051,4074.190674,1007.197998
-951.537354,4071.558105,1007.399902
-951.59021,4068.885742,1007.63562
-951.6521,4066.177002,1007.907043
-951.725342,4063.432617,1008.214844
-951.811279,4060.655029,1008.557922
-951.909363,4057.845215,1008.934143
-952.018555,4055.002686,1009.339905
-952.136841,4052.12915,1009.770752
-952.262085,4049.224365,1010.221375
-952.391724,4046.289062,1010.684937
-952.522827,4043.322998,1011.153931
-952.651855,4040.327637,1011.61969
-952.775208,4037.30249,1012.073486
-952.889343,4034.248291,1012.506836
-952.991089,4031.165039,1012.912415
-953.077576,4028.054688,1013.283752
-953.146179,4024.91748,1013.615845
-953.194397,4021.75415,1013.904663
-953.219849,4018.566162,1014.14679
-953.220093,4015.355225,1014.339905
-953.192383,4012.121582,1014.482117
-953.134033,4008.867188,1014.571899
-953.043152,4005.594238,1014.608154
-952.917969,4002.303711,1014.589783
-952.757751,3998.99707,1014.516479
-952.5625,3995.675781,1014.388306
-952.332397,3992.340332,1014.206177
-952.068359,3988.990234,1013.971558
-951.771484,3985.625732,1013.686035
-951.442688,3982.243896,1013.351196
-951.083557,3978.844238,1012.968689
-950.695862,3975.423096,1012.540466
-950.281677,3971.97876,1012.069092
-949.843506,3968.508301,1011.557312
-949.384216,3965.009033,1011.008728
-948.90625,3961.478516,1010.427124
-948.411865,3957.914062,1009.817017
-947.903015,3954.312744,1009.181641
-947.381348,3950.671387,1008.52417
-946.848328,3946.986328,1007.846802
-946.305603,3943.25415,1007.151611
-945.754211,3939.471436,1006.439697
-945.195007,3935.633789,1005.712402
-944.627747,3931.73999,1004.970459
-944.052246,3927.786865,1004.214417
-943.467773,3923.772949,1003.445129
-942.873718,3919.698242,1002.663269
-942.26886,3915.561768,1001.869324
-941.651733,3911.364502,1001.064331
-941.021118,3907.10791,1000.249146
-940.375793,3902.794678,999.425842
-939.714966,3898.427002,998.596924
-939.038635,3894.007812,997.765259
-938.347046,3889.540771,996.933533
-937.640747,3885.0271,996.104065
-936.919983,3880.469971,995.279053
-936.185059,3875.871338,994.461121
-935.435974,3871.231934,993.652283
-934.672791,3866.552734,992.854309
-933.895264,3861.83374,992.06842
-933.103394,3857.074463,991.295166
-932.296631,3852.273926,990.534363
-931.474365,3847.43042,989.785156
-930.635864,3842.542236,989.046448
-929.780212,3837.60791,988.317261
-928.906921,3832.625732,987.596985
-928.015564,3827.595215,986.885376
-927.106018,3822.516357,986.18219
-926.177368,3817.390869,985.487366
-925.228882,3812.219971,984.800293
-924.259338,3807.005859,984.120911
-923.268005,3801.750488,983.449219
-922.254028,3796.455566,982.785278
-921.216797,3791.122559,982.129089
-920.156433,3785.75293,981.480774
-919.073975,3780.349365,980.840698
-917.970947,3774.913086,980.20929
-916.848694,3769.445312,979.586304
-915.708557,3763.948975,978.970825
-914.551147,3758.424316,978.361023
-913.377075,3752.872803,977.754333
-912.186951,3747.294922,977.147888
-910.981506,3741.690674,976.538391
-909.761108,3736.060303,975.923401
-908.527161,3730.404785,975.300842
-907.280823,3724.725586,974.668762
-906.023987,3719.023193,974.025696
-904.758545,3713.300049,973.370056
-903.486755,3707.557617,972.700745
-902.210571,3701.799072,972.016968
-900.932983,3696.026123,971.318848
-899.656799,3690.240967,970.606873
-898.385132,3684.447021,969.882324
-897.120483,3678.646729,969.146729
-895.864807,3672.843994,968.401367
-894.61908,3667.040039,967.647339
-893.383911,3661.237549,966.885193
-892.158752,3655.437256,966.115723
-890.943115,3649.640869,965.339111
-889.736267,3643.849854,964.555908
-888.537537,3638.064453,963.766296
-887.345581,3632.284912,962.970459
-886.158997,3626.509277,962.168091
-884.976135,3620.73584,961.35907
-883.795776,3614.96167,960.543518
-882.616882,3609.185059,959.722412
-881.438965,3603.403809,958.897827
-880.262634,3597.617188,958.072937
-879.089539,3591.824463,957.251709
-877.922485,3586.026855,956.43866
-876.765198,3580.224609,955.638428
-875.621826,3574.417725,954.85675
-874.496826,3568.606934,954.100525
-873.394897,3562.790527,953.377747
-872.320801,3556.96875,952.69696
-871.278503,3551.139404,952.067078
-870.271545,3545.300049,951.496399
-869.302368,3539.446045,950.993042
-868.372864,3533.572754,950.563965
-867.484436,3527.672607,950.214905
-866.638184,3521.737549,949.95105
-865.834351,3515.758545,949.776245
-865.072632,3509.725342,949.694153
-864.352234,3503.627441,949.708008
-863.67218,3497.454346,949.820679
-863.031189,3491.195068,950.035095
-862.427979,3484.836914,950.353027
-861.860779,3478.367432,950.776001
-861.328674,3471.773438,951.30481
-860.831482,3465.041992,951.940308
-860.3703,3458.161865,952.68396
-859.946838,3451.123047,953.538635
-859.563843,3443.918945,954.50824
-859.224731,3436.545654,955.597717
-858.93335,3429.000977,956.813354
-858.694336,3421.284424,958.161682
-858.512634,3413.395508,959.649109
-858.392639,3405.334229,961.281067
-858.338135,3397.098633,963.061523
-858.351196,3388.686523,964.993286
-858.4328,3380.094971,967.078003
-858.58313,3371.321045,969.316589
-858.800781,3362.36084,971.708435
-859.082703,3353.211914,974.251953
-859.424438,3343.869385,976.943909
-859.819519,3334.330811,979.779175
-860.260315,3324.592041,982.751038
-860.737976,3314.651123,985.85144
-861.244141,3304.506836,989.071228
-861.770813,3294.159912,992.399841
-862.310547,3283.613525,995.82489
-862.856567,3272.873047,999.332031
-863.403015,3261.947021,1002.905701
-863.945923,3250.844482,1006.52948
-864.483215,3239.576172,1010.18634
-865.013245,3228.151855,1013.858887
-865.533508,3216.581055,1017.52887
-866.041687,3204.873535,1021.177673
-866.5354,3193.037842,1024.785156
-867.013367,3181.084229,1028.331177
-867.473755,3169.022949,1031.793823
-867.914856,3156.865234,1035.150757
-868.335205,3144.62207,1038.378052
-868.734741,3132.304932,1041.450439
-869.115479,3119.926514,1044.343018
-869.480652,3107.498779,1047.029907
-869.834351,3095.034912,1049.487061
-870.17981,3082.544922,1051.691284
-870.518982,3070.039795,1053.619141
-870.851929,3057.529785,1055.247925
-871.178406,3045.025391,1056.554688
-871.498474,3032.537354,1057.517212
-871.812195,3020.076172,1058.113892
-872.119446,3007.651123,1058.323975
-872.419983,2995.27124,1058.126465
-872.71344,2982.945801,1057.5
-872.998291,2970.685059,1056.423706
-873.272095,2958.498779,1054.876831
-873.531738,2946.39917,1052.84082
-873.773071,2934.401855,1050.300659
-873.991028,2922.523682,1047.243408
-874.178833,2910.787598,1043.65918
-874.328308,2899.220459,1039.541382
-874.430054,2887.853027,1034.885742
-874.473511,2876.719971,1029.691772
-874.449219,2865.858887,1023.962646
-874.349731,2855.309814,1017.70459
-874.170898,2845.115234,1010.927673
-873.910706,2835.318359,1003.645569
-873.567566,2825.961426,995.875488
-873.138245,2817.083008,987.638306
-872.617554,2808.719482,978.958618
-871.999451,2800.902344,969.864075
-871.2771,2793.661621,960.383728
-870.442383,2787.021973,950.547302
-869.486084,2781.001709,940.384827
-868.398132,2775.613525,929.926147
-867.168701,2770.863281,919.200989
-865.789612,2766.752197,908.238464
-864.254578,2763.276611,897.066711
-862.561035,2760.430176,885.713379
-860.709229,2758.203613,874.205688
-858.702576,2756.587646,862.570984
-856.546753,2755.575439,850.838257
-854.250977,2755.161377,839.039185
-851.82959,2755.344238,827.210083
-849.301819,2756.123779,815.390503
-846.690125,2757.499268,803.623108
-844.017273,2759.467773,791.950684
-841.303955,2762.024658,780.416443
-838.567627,2765.161133,769.062439
-835.821838,2768.866455,757.929993
-833.076477,2773.128418,747.057983
-830.338562,2777.931396,736.482971
