time in seconds,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Rcarz
0,837866162,-111.8410416,-26.51245689,47.94732285,4.669656754,-8.425479889,-3.399574518,-6.319800377,-0.740533173,-2.553175688,990.097351
0.008333,837874495,-111.9068756,-26.51907158,47.96329498,4.65056181,-8.53861618,-3.541143417,-5.41085434,-2.317038298,-1.906467557,991.450378
0.016666,837882828,-111.9695435,-26.53079796,47.98563004,4.717082024,-8.243590355,-3.616766691,-4.137723923,-2.377538919,-2.796511173,992.852661
0.024999,837891161,-112.023735,-26.54242706,48.00997925,4.645319939,-8.465640068,-3.471036434,-3.565680981,-2.921713352,-2.803119659,994.294312
0.033332,837899494,-112.0711212,-26.54401588,48.03878784,4.591832161,-8.407205582,-3.509645224,-1.956568956,-3.481615067,-1.930391192,995.764404
0.041665,837907827,-112.1064148,-26.54479599,48.05670929,4.94709301,-8.355545044,-3.698644161,-1.642845869,-2.769897938,-1.34123826,997.252136
0.049998,837916160,-112.1434479,-26.54861641,48.06010818,4.935754776,-8.470186234,-3.694428682,-2.076648712,-0.846140683,-1.155765653,998.746887
0.058331,837924493,-112.1613922,-26.5486908,48.05043411,4.917329311,-8.442115784,-3.543168306,-1.040629506,-0.058144312,-0.14717938,1000.237732
0.066664,837932826,-112.1870499,-26.53612518,48.05001068,4.793883324,-8.494925499,-3.445322275,-0.920857191,-1.216676116,0.827250123,1001.714478
0.074997,837941159,-112.1985321,-26.51165581,48.05327988,4.741219997,-8.601847649,-3.484494209,0.431177258,-2.455713511,2.054684162,1003.168213
0.08333,837949492,-112.2089844,-26.47978783,48.0585022,4.883592606,-8.61889267,-3.549687147,1.200065374,-2.658142805,2.744526625,1004.590515
0.091663,837957825,-112.199852,-26.44982147,48.05699158,4.845321655,-8.558227539,-3.506148338,2.648089647,-2.230667114,2.860405684,1005.97467
0.099996,837966158,-112.1937256,-26.41630745,48.06491089,4.804188728,-8.745996475,-3.483355284,3.330144882,-3.000835657,2.820600986,1007.314697
0.108329,837974491,-112.1704712,-26.38674164,48.0700264,4.902078152,-8.754439354,-3.576930046,4.696101665,-2.869460583,2.547528028,1008.607056
0.116662,837982824,-112.1514664,-26.36812401,48.07333755,4.915410995,-8.683915138,-3.598231316,4.624969959,-1.870889425,1.354672909,1009.848938
0.124995,837991157,-112.1240082,-26.36428261,48.06818771,4.852412701,-8.821564674,-3.538963318,4.652582645,-0.682440042,0.10451889,1011.038757
0.133328,837999490,-112.0999832,-26.3646431,48.06406021,4.755440712,-8.777261734,-3.407106638,4.828757286,-0.274097949,-0.449990839,1012.175537
0.141661,838007823,-112.0754318,-26.36538506,48.06541061,4.703343868,-8.585142136,-3.385187626,4.648278713,-1.123440385,-0.66668731,1013.259399
0.149994,838016156,-112.0648193,-26.36351204,48.07627106,4.725019455,-8.557348251,-3.533225775,4.012329578,-1.875730276,-0.807872951,1014.291382
0.158327,838024489,-112.0538788,-26.37366676,48.08136368,4.755979538,-8.420695305,-3.634041786,3.21705842,-1.071648359,-1.865664005,1015.272644
0.16666,838032822,-112.0594406,-26.38859177,48.08535004,4.804751873,-8.255679131,-3.616005898,1.700977206,-0.438899904,-2.396263123,1016.204712
0.174993,838041155,-112.0604248,-26.40415764,48.08874893,4.67741394,-8.233647346,-3.592639208,1.69723773,-0.657645524,-2.399311066,1017.088989
0.183326,838049488,-112.0734329,-26.42188263,48.10194397,4.689427376,-8.342007637,-3.527634859,1.294172168,-1.228894114,-3.075450182,1017.926697
0.191659,838057821,-112.0813599,-26.44523811,48.11208725,4.747121811,-8.480753899,-3.670082092,1.22393775,-0.978668571,-3.538119316,1018.718933
0.199992,838066154,-112.0987778,-26.47560501,48.11997223,4.845860004,-8.481016159,-3.628098965,0.478973418,-0.125663444,-4.262285709,1019.466614
0.208325,838074487,-112.1137161,-26.50694084,48.1232605,4.885088921,-8.522285461,-3.631958723,0.015406961,0.06796737,-4.147508144,1020.170593
0.216658,838082820,-112.1294632,-26.53406525,48.12869644,4.748056412,-8.693514824,-3.453057289,0.549002647,-0.032453235,-3.800025225,1020.831238
0.224991,838091153,-112.1360245,-26.55086136,48.13483047,4.676468849,-8.65327549,-3.421653509,1.174220562,-0.871729195,-2.64697504,1021.449341
0.233324,838099486,-112.1419296,-26.55766869,48.14529037,4.66295433,-8.765717506,-3.443150997,1.993927598,-1.449407101,-1.741486192,1022.02533
0.241657,838107819,-112.1333313,-26.56294441,48.1496048,4.640692711,-8.562582016,-3.488143921,2.895471334,-1.212705851,-1.291034222,1022.559875
0.24999,838116152,-112.1302643,-26.56780243,48.15229797,4.614384174,-8.607458115,-3.486153841,2.650215149,-0.770450652,-1.213320851,1023.053406
0.258323,838124485,-112.1198425,-26.57643318,48.14294052,4.673296452,-8.499710083,-3.5715909,2.380190134,0.298444271,-1.110351563,1023.506287
0.266656,838132818,-112.1207657,-26.58349228,48.13051224,4.737942696,-8.454245567,-3.542077065,1.359155416,0.82914567,-0.84808737,1023.918762
0.274989,838141151,-112.109436,-26.59260178,48.10607147,4.63919735,-8.431835175,-3.539319515,1.679487109,1.820262909,-0.555291057,1024.291138
0.283322,838149484,-112.1082001,-26.59882927,48.07870483,4.674931049,-8.297671318,-3.529284239,0.808346808,2.273506641,-0.149074852,1024.624146
0.291655,838157817,-112.1149673,-26.61310196,48.04914093,4.686228752,-8.371949196,-3.542067289,-0.768811226,2.564433098,-0.922599137,1024.917236
0.299988,838166150,-112.1333389,-26.62959099,48.0266304,4.731704712,-8.371112823,-3.583917141,-1.289958477,2.250991821,-1.482321262,1025.171387
0.308321,838174483,-112.1559143,-26.65445137,48.00789642,4.823625088,-8.484506607,-3.548598289,-2.082974911,1.965572,-2.536065102,1025.387817
0.316654,838182816,-112.1801224,-26.69052124,47.99494934,4.81828928,-8.624073029,-3.573721886,-1.476302028,2.188441992,-4.041209698,1025.568237
0.324987,838191149,-112.2072678,-26.74657249,47.98358154,4.978335381,-8.650174141,-3.647034407,-2.238991737,2.644733906,-6.297951698,1025.714355
0.33332,838199482,-112.2541885,-26.82159805,47.97377396,5.127682686,-8.633196831,-3.783326864,-4.041055202,3.64952898,-8.489377975,1025.827026
0.341653,838207815,-112.3042755,-26.91590309,47.95476532,5.308128834,-8.46243763,-3.798316956,-5.410188198,5.150165081,-10.23058319,1025.906372
0.349986,838216148,-112.3615799,-27.01338005,47.93608475,5.10138464,-8.405273438,-3.625534058,-5.773346901,5.55745697,-10.6097765,1025.951904
0.358319,838224481,-112.4112549,-27.10040665,47.92374802,4.854018688,-8.313410759,-3.492367268,-5.004458904,4.173135281,-9.684000015,1025.963867
0.366652,838232814,-112.4738083,-27.17165756,47.93269348,4.698611259,-7.785408974,-3.324180603,-4.898441315,1.646393657,-8.808633804,1025.943481
0.374985,838241147,-112.5446243,-27.23540115,47.95942307,4.617890358,-7.904504299,-3.443448305,-5.400608063,-0.728776276,-8.688811302,1025.892456
0.383318,838249480,-112.6203308,-27.29300308,47.99717331,4.540985107,-7.780200005,-3.389600515,-4.896981239,-1.800219536,-8.467272758,1025.814575
0.391651,838257813,-112.6912003,-27.34730148,48.0410881,4.400788307,-7.755067825,-3.34298563,-4.453418732,-2.833292961,-8.345398903,1025.713623
0.399984,838266146,-112.763504,-27.39473152,48.0854187,4.443784714,-7.790122986,-3.397622347,-4.120306492,-2.896919012,-7.61050272,1025.594238
0.408317,838274479,-112.8220673,-27.44160652,48.1139183,4.431232929,-7.870559216,-3.391644478,-3.822310448,-1.641514182,-6.892023563,1025.46106
0.41665,838282812,-112.8675079,-27.48070335,48.13368225,4.245481014,-7.885390282,-3.258019447,-2.253668547,-0.859024704,-5.67457819,1025.317871
0.424983,838291145,-112.9003601,-27.50215149,48.14727783,4.103991032,-7.569684029,-3.193101645,-1.554220319,-1.354454994,-3.465297937,1025.168213
0.433316,838299478,-112.9360046,-27.49495506,48.16795731,3.890308857,-7.621808529,-3.05452323,-1.03151083,-3.109875679,-0.596222579,1025.015503
0.441649,838307811,-112.9518356,-27.45291138,48.19852829,3.708726883,-7.449547291,-2.960758924,1.426392555,-5.98538065,2.848033905,1024.862427
0.449982,838316144,-112.9552917,-27.37304306,48.23765564,3.732088566,-7.448887348,-3.111745119,3.844018221,-8.319659233,6.66232729,1024.710938
0.458315,838324477,-112.9370117,-27.27433205,48.26752853,3.592235804,-7.297790527,-3.157845736,5.471752644,-8.5728302,9.136842728,1024.561401
0.466648,838332810,-112.9199982,-27.15809441,48.29034805,3.575406551,-7.323333263,-3.168093204,5.387378693,-8.425343513,11.3547287,1024.41394
0.474981,838341143,-112.8912048,-27.03500938,48.30089569,3.511641741,-7.195626259,-3.129122734,5.663782597,-7.808476448,12.63672161,1024.266968
0.483314,838349476,-112.861557,-26.89932251,48.30031204,3.533066273,-7.21394062,-3.157795668,5.619417667,-7.019325256,14.47728062,1024.118408
0.491647,838357809,-112.8274002,-26.75774193,48.30057907,3.374894619,-7.310730457,-3.009905815,5.744263649,-7.646773338,15.1156683,1023.964783
0.49998,838366142,-112.804657,-26.60430717,48.30437851,3.514413118,-7.441097736,-3.024225712,5.022659302,-8.263949394,16.26052475,1023.801819
0.508313,838374475,-112.7752686,-26.43564224,48.30756378,3.585991859,-7.316940308,-2.931560993,5.32854414,-9.178481102,17.99788857,1023.625488
0.516646,838382808,-112.7498932,-26.242733,48.3140831,3.673132181,-7.429074287,-3.080670595,5.481384754,-10.35358715,20.51182556,1023.432251
0.524979,838391141,-112.7115021,-26.04152298,48.31484604,3.837822914,-7.276907444,-3.192797661,6.279576302,-10.4277916,21.70831871,1023.219238
0.533312,838399474,-112.6838913,-25.83335876,48.31175995,4.074781895,-7.278037071,-3.291329384,5.236615658,-10.08871078,22.6078949,1022.984375
0.541645,838407807,-112.6471558,-25.62874222,48.29799271,3.952023983,-7.351948738,-3.207109928,5.322781563,-9.111577034,22.70102501,1022.725708
0.549978,838416140,-112.621666,-25.42952728,48.28598785,4.164338112,-7.612716198,-3.239113331,4.525077343,-8.761431694,21.99770927,1022.441406
0.558311,838424473,-112.5859451,-25.24514008,48.25885391,4.315264702,-7.593456745,-3.331152201,4.526204109,-6.807779789,21.02823257,1022.129272
0.566644,838432806,-112.5550232,-25.06895638,48.22219086,4.365748882,-7.689558983,-3.270424366,3.92181015,-5.208708763,20.4858017,1021.788147
0.574977,838441139,-112.5226746,-24.89833069,48.18426514,4.14979887,-7.808160305,-3.172039509,3.590464354,-5.05876255,19.96288872,1021.417358
0.58331,838449472,-112.4914932,-24.73651314,48.15179443,4.077476025,-7.744706631,-3.151499987,4.187582493,-4.938400269,18.73191261,1021.0177
0.591643,838457805,-112.4714661,-24.58731842,48.13019562,3.995373011,-7.584877968,-3.086114407,2.955870628,-5.692432404,16.91227531,1020.590088
0.599976,838466138,-112.474762,-24.4531498,48.11329269,4.03339386,-7.831597328,-3.18367219,0.839621961,-5.228507042,15.02299404,1020.136719
0.608309,838474471,-112.4873581,-24.34538841,48.08795929,4.078897953,-7.744565964,-3.219155312,-1.135095119,-3.407590389,12.47855377,1019.660095
0.616642,838482804,-112.5293427,-24.24919128,48.05664825,4.302433968,-7.770018578,-3.201574564,-4.511076927,-2.03564024,11.41766071,1019.162781
0.624975,838491137,-112.579567,-24.1575222,48.02493286,4.181168079,-8.093111992,-3.130022764,-5.953620434,-2.034308195,10.96042252,1018.648132
0.633308,838499470,-112.6307373,-24.07274437,48.00794983,4.386929512,-8.183209419,-3.274658442,-4.902898312,-2.983546734,9.553124428,1018.120544
0.641641,838507803,-112.6749268,-24.00374222,48.00405121,4.555848598,-8.238599777,-3.454859495,-3.861269951,-3.813806534,7.276250362,1017.583496
0.649974,838516136,-112.7270203,-23.96180916,48.01336288,4.787480354,-8.283071518,-3.617328644,-3.729355574,-3.681175709,3.698144436,1017.040833
0.658307,838524469,-112.7722778,-23.94723892,48.02156448,4.904877663,-8.453373909,-3.744597912,-3.398164034,-2.524974585,0.734168053,1016.494751
0.66664,838532802,-112.807106,-23.95884132,48.02127075,4.901609898,-8.479689598,-3.823184013,-2.130745888,-0.230502471,-1.814077139,1015.94696
0.674973,838541135,-112.8251648,-23.99791336,48.01483917,4.693845749,-8.448331833,-3.79451704,-0.848138571,1.446960926,-4.578801155,1015.397766
0.683306,838549468,-112.8563995,-24.04488373,48.01785278,4.580299377,-8.179100037,-3.57152915,-1.538391113,1.079294324,-5.857950687,1014.846802
0.691639,838557801,-112.879715,-24.07990456,48.02560043,4.266918182,-8.123163223,-3.470043421,-0.787074268,-0.170667663,-4.731845856,1014.293213
0.699972,838566134,-112.907486,-24.09749222,48.04898834,4.072667122,-8.102113724,-3.398333073,-0.126150116,-2.343677044,-3.46990943,1013.735291
0.708305,838574467,-112.9132919,-24.10149956,48.07938766,3.864854813,-7.973200321,-3.339681149,2.424938202,-3.902636528,-2.270369053,1013.171692
0.716638,838582800,-112.9116516,-24.09467125,48.11346817,3.865380287,-7.989188194,-3.506706476,3.92444706,-4.567325592,-1.224514246,1012.600159
0.724971,838591133,-112.8914948,-24.09354973,48.13200378,3.882354498,-7.565153122,-3.598763466,4.961259842,-2.943280458,-1.197926641,1012.019043
0.733304,838599466,-112.8846283,-24.08813095,48.13843155,3.812473059,-7.622366905,-3.576207638,3.192237854,-1.714027643,-0.201686487,1011.427063
0.741637,838607799,-112.8733292,-24.06873703,48.13280106,3.672799349,-7.478455067,-3.343126535,2.711689472,-1.357093453,1.854739547,1010.823242
0.74997,838616132,-112.8722458,-24.02103806,48.13473892,3.476196289,-7.512809277,-3.181754351,2.281882524,-3.230159998,4.665876389,1010.207886
0.758303,838624465,-112.8568573,-23.94267082,48.14252853,3.226392746,-7.945883751,-3.189602613,3.857619286,-5.462338448,7.803236008,1009.582153
0.766636,838632798,-112.8197098,-23.84406471,48.15032959,3.265749216,-7.842061996,-3.241261482,6.893059254,-6.192472458,10.04765797,1008.947632
0.774969,838641131,-112.7723618,-23.73638344,48.15203476,3.268635035,-7.833384514,-3.297049761,7.397098541,-6.199594021,11.30959702,1008.30542
0.783302,838649464,-112.7368164,-23.62406731,48.15672684,3.182285309,-8.04673481,-3.24236989,6.539047241,-6.50507021,11.69642448,1007.657288
0.791635,838657797,-112.7053757,-23.51540756,48.1604805,3.1929214,-8.053200722,-3.32317543,5.586683273,-6.439957619,11.33685017,1007.003662
0.799968,838666130,-112.7097855,-23.40997505,48.18217087,3.259685755,-8.105649948,-3.390393257,2.553035021,-7.902018547,10.21023178,1006.345398
0.808301,838674463,-112.7320786,-23.31534195,48.20769501,3.662410975,-8.258973122,-3.6599648,0.171448886,-8.000504494,8.85923481,1005.683167
0.816634,838682796,-112.7777252,-23.23602295,48.2393074,3.823795557,-8.309134483,-3.798514128,-1.935949683,-7.711216927,6.882507324,1005.018005
0.824967,838691129,-112.829689,-23.17300415,48.26628494,4.034324646,-8.54681778,-3.80530858,-3.329108238,-6.69471693,5.289480686,1004.351746
0.8333,838699462,-112.8958206,-23.12075806,48.30952072,4.005515099,-8.58016777,-3.729631186,-3.854737997,-7.647079945,3.374868155,1003.687378
0.841633,838707795,-112.9741974,-23.07872581,48.36778259,4.224060059,-8.650267601,-3.910321951,-5.030328751,-8.910552025,1.608100176,1003.027588
0.849966,838716128,-113.0618896,-23.04222679,48.43557358,4.384018421,-8.606208801,-3.99102354,-5.297049999,-9.417254448,0.558070242,1002.37439
0.858299,838724461,-113.1444092,-23.00893784,48.50680542,4.418357372,-8.213466644,-4.050822735,-4.926309586,-9.827439308,0.056210443,1001.729004
0.866632,838732794,-113.2415161,-22.98068428,48.58312988,4.397975922,-8.418541908,-4.122641563,-6.036942005,-9.902744293,-0.748524785,1001.091248
0.874965,838741127,-113.3342819,-22.95902443,48.64959717,4.244372845,-8.332630157,-4.097611904,-6.386960983,-8.796030998,-1.045572996,1000.460999
0.883298,838749460,-113.4394989,-22.93334579,48.70682144,4.373375416,-8.234174728,-4.091790676,-7.907371521,-7.845103264,-0.220436156,999.837891
0.891631,838757793,-113.5456848,-22.89284515,48.74778366,4.371952057,-8.442705154,-4.030566216,-9.198200226,-7.111767292,2.121588707,999.221313
0.899964,838766126,-113.6351318,-22.84001923,48.77248764,4.409992695,-8.528155327,-4.021193027,-7.538757324,-5.86384201,4.182485104,998.610107
0.908297,838774459,-113.7013855,-22.76747322,48.78175354,4.247694969,-8.561473846,-3.845601797,-5.886663914,-5.455883503,7.031044006,998.00238
0.91663,838782792,-113.745224,-22.67399406,48.78844833,3.826086521,-8.743444443,-3.695782661,-2.909981966,-6.013249397,9.442854881,997.39502
0.924963,838791125,-113.7676926,-22.56362915,48.8049202,3.611065626,-8.973612785,-3.56268239,-0.30201748,-8.02729702,10.85499382,996.784302
0.933296,838799458,-113.7775192,-22.45072556,48.83054733,3.601928473,-9.137718201,-3.634230375,2.040263891,-8.890369415,10.72436333,996.166565
