X,Y,Z,time
-956.595642,4138.782227,1046.005859,0
-957.950195,4138.534668,1048.374634,0.008333333
-958.924988,4138.032227,1050.314819,0.016666667
-959.946411,4137.620117,1052.264404,0.025
-960.885071,4137.353027,1053.942749,0.033333333
-961.607971,4137.035645,1055.439697,0.041666667
-962.135681,4136.75,1056.725952,0.05
-962.516052,4136.533691,1057.697388,0.058333333
-962.809875,4136.28418,1058.491577,0.066666667
-962.997375,4136.029785,1059.240601,0.075
-963.148193,4135.843262,1059.803345,0.083333333
-963.224976,4135.732422,1060.275269,0.091666667
-963.209167,4135.727539,1060.555786,0.1
-963.213928,4135.702148,1060.818481,0.108333333
-963.114929,4135.68457,1061.0177,0.116666667
-963.000366,4135.799316,1061.154663,0.125
-962.811096,4135.901367,1061.210815,0.133333333
-962.619751,4136.041016,1061.202759,0.141666667
-962.396484,4136.066895,1061.160522,0.15
-962.138733,4136.109375,1061.10498,0.158333333
-961.891174,4136.252441,1061.034302,0.166666667
-961.622864,4136.386719,1060.931641,0.175
-961.388794,4136.440918,1060.810425,0.183333333
-961.124207,4136.42334,1060.741821,0.191666667
-960.874084,4136.353027,1060.658325,0.2
-960.667358,4136.405273,1060.631226,0.208333333
-960.464783,4136.422852,1060.620483,0.216666667
-960.199463,4136.414062,1060.558594,0.225
-959.971375,4136.379395,1060.526733,0.233333333
-959.81189,4136.253906,1060.575806,0.241666667
-959.646667,4136.281738,1060.645996,0.25
-959.512207,4136.174316,1060.668457,0.258333333
-959.337463,4136.04834,1060.686279,0.266666667
-959.194458,4135.972656,1060.744141,0.275
-958.940186,4135.833984,1060.675049,0.283333333
-958.621826,4135.648926,1060.426758,0.291666667
-958.33551,4135.531738,1060.076172,0.3
-957.873474,4135.326172,1059.544556,0.308333333
-957.374756,4135.102051,1058.985474,0.316666667
-956.948792,4134.831543,1058.311279,0.325
-956.502808,4134.583496,1057.597412,0.333333333
-956.012024,4134.404785,1056.906128,0.341666667
-955.474487,4134.351562,1056.081177,0.35
-954.977417,4134.134766,1055.224731,0.358333333
-954.450806,4133.776855,1054.141724,0.366666667
-953.84729,4133.565918,1053.108521,0.375
-953.005737,4133.402344,1051.999878,0.383333333
-952.369629,4133.212402,1050.912109,0.391666667
-951.578674,4133.143066,1049.737671,0.4
-950.842102,4133.081055,1048.664917,0.408333333
-950.059204,4132.942871,1047.486694,0.416666667
-949.383606,4133.027832,1046.35022,0.425
-948.650635,4132.938477,1045.303711,0.433333333
-947.822815,4132.935547,1044.188721,0.441666667
-947.189758,4132.827148,1043.077759,0.45
-946.504456,4132.779297,1042.164551,0.458333333
-945.776245,4132.786621,1041.335815,0.466666667
-945.061096,4132.720703,1040.478882,0.475
-944.406738,4132.808594,1039.637329,0.483333333
-943.743835,4132.666992,1038.811646,0.491666667
-943.161743,4132.700684,1038.127686,0.5
-942.654663,4132.664062,1037.535645,0.508333333
-942.201477,4132.524414,1037.057373,0.516666667
-941.883789,4132.476074,1036.672729,0.525
-941.583435,4132.456543,1036.390259,0.533333333
-941.309143,4132.499023,1036.194092,0.541666667
-941.13385,4132.529297,1036.023804,0.55
-940.9776,4132.439941,1035.807129,0.558333333
-940.8302,4132.311035,1035.613159,0.566666667
-940.704163,4132.200684,1035.411621,0.575
-940.595398,4132.003906,1035.176758,0.583333333
-940.566101,4131.788574,1035.0177,0.591666667
-940.532043,4131.447754,1034.762573,0.6
-940.549438,4131.143066,1034.484131,0.608333333
-940.576843,4130.824707,1034.137207,0.616666667
-940.571167,4130.42627,1033.734741,0.625
-940.555847,4130.055176,1033.373413,0.633333333
-940.573547,4129.592773,1032.886353,0.641666667
-940.606262,4129.120117,1032.409058,0.65
-940.538269,4128.67334,1031.854736,0.658333333
-940.487244,4128.328125,1031.229248,0.666666667
-940.367065,4127.955078,1030.591064,0.675
-940.267334,4127.571777,1029.959106,0.683333333
-940.106689,4127.215332,1029.35498,0.691666667
-939.840759,4126.932617,1028.655762,0.7
-939.505188,4126.536133,1027.916992,0.708333333
-939.176453,4126.269531,1027.225464,0.716666667
-938.878235,4126.082031,1026.644165,0.725
-938.536804,4125.773926,1025.967896,0.733333333
-938.200745,4125.559082,1025.337769,0.741666667
-937.940186,4125.3125,1024.729004,0.75
-937.656311,4125.064941,1024.161865,0.758333333
-937.302856,4124.706055,1023.486633,0.766666667
-937.031006,4124.461914,1022.920715,0.775
-936.796875,4124.17627,1022.480835,0.783333333
-936.615723,4123.875,1022.057861,0.791666667
-936.411743,4123.567871,1021.690002,0.8
-936.236633,4123.199707,1021.394958,0.808333333
-936.165955,4122.812988,1021.16095,0.816666667
-936.183899,4122.365234,1020.975098,0.825
-936.277832,4121.854492,1020.846008,0.833333333
-936.425354,4121.534668,1020.809265,0.841666667
-936.613892,4121.102051,1020.778992,0.85
-936.906433,4120.591797,1020.750549,0.858333333
-937.19104,4120.217285,1020.741821,0.866666667
-937.567749,4119.648438,1020.750854,0.875
-937.933044,4119.185059,1020.742676,0.883333333
-938.389587,4118.601562,1020.650635,0.891666667
-938.69519,4118.145508,1020.533081,0.9
-938.984314,4117.498535,1020.343872,0.908333333
-939.279297,4117.112793,1020.145081,0.916666667
-939.529602,4116.46582,1019.920593,0.925
-939.80481,4116.037598,1019.613037,0.933333333
-940.007019,4115.554688,1019.363281,0.941666667
-940.249817,4114.897461,1019.044983,0.95
-940.484131,4114.366211,1018.700867,0.958333333
-940.699585,4113.706055,1018.34082,0.966666667
-940.986328,4113.126953,1017.973999,0.975
-941.315002,4112.530273,1017.729065,0.983333333
-941.647339,4111.978027,1017.485596,0.991666667
-942.086304,4111.338867,1017.350891,1
-942.579224,4110.71582,1017.195129,1.008333333
-943.123901,4110.143066,1017.074585,1.016666667
-943.654297,4109.441406,1016.969666,1.025
-944.260803,4108.628418,1016.825684,1.033333333
-944.838989,4107.78418,1016.811157,1.041666667
-945.410522,4106.881836,1016.754883,1.05
-945.889221,4105.925293,1016.669739,1.058333333
-946.479553,4104.90918,1016.546875,1.066666667
-947.050964,4103.766602,1016.433594,1.075
-947.556335,4102.498047,1016.286255,1.083333333
-948.006836,4101.092285,1016.10437,1.091666667
-948.39856,4099.605957,1015.870667,1.1
-948.724609,4098.095703,1015.617981,1.108333333
-949.020996,4096.46582,1015.32843,1.116666667
-949.253357,4094.70166,1015.100708,1.125
-949.54834,4092.958984,1014.897095,1.133333333
-949.776733,4091.119873,1014.709106,1.141666667
-949.965149,4089.205811,1014.497742,1.15
-950.110046,4087.253662,1014.247314,1.158333333
-950.311951,4085.161133,1014.057617,1.166666667
-950.524963,4083.132324,1013.882874,1.175
-950.65033,4081.01709,1013.671021,1.183333333
-950.777954,4078.717285,1013.492493,1.191666667
-950.913147,4076.369873,1013.295288,1.2
-950.982849,4074.038574,1013.075562,1.208333333
-951.192261,4071.608154,1012.930176,1.216666667
-951.383789,4069.228271,1012.80426,1.225
-951.495972,4066.688477,1012.671936,1.233333333
-951.610779,4064.088379,1012.571838,1.241666667
-951.764038,4061.451416,1012.540222,1.25
-951.851013,4058.836426,1012.474304,1.258333333
-952.027344,4056.2229,1012.457581,1.266666667
-952.152466,4053.431152,1012.469421,1.275
-952.254761,4050.619629,1012.529114,1.283333333
-952.394653,4047.810059,1012.598877,1.291666667
-952.453979,4045.016846,1012.592651,1.3
-952.53772,4042.078125,1012.488464,1.308333333
-952.615173,4039.029053,1012.384277,1.316666667
-952.605469,4035.89624,1012.328369,1.325
-952.646423,4032.68042,1012.265808,1.333333333
-952.799072,4029.597656,1012.266846,1.341666667
-952.790588,4026.413086,1012.173279,1.35
-952.713623,4023.102295,1012.082336,1.358333333
-952.793213,4019.88501,1012.018066,1.366666667
-952.767273,4016.536133,1011.898071,1.375
-952.750183,4013.116455,1011.799805,1.383333333
-952.706909,4009.639648,1011.684448,1.391666667
-952.729675,4006.155518,1011.487488,1.4
-952.629944,4002.583984,1011.344299,1.408333333
-952.611572,3998.870605,1011.101868,1.416666667
-952.577148,3995.291992,1010.882629,1.425
-952.490723,3991.615234,1010.743286,1.433333333
-952.435364,3987.849609,1010.616333,1.441666667
-952.392151,3984.230225,1010.39801,1.45
-952.279419,3980.572021,1010.259033,1.458333333
-952.218567,3976.785156,1010.110962,1.466666667
-952.101807,3973.037842,1009.979004,1.475
-952.016052,3969.324707,1009.881958,1.483333333
-951.83075,3965.401855,1009.659546,1.491666667
-951.754883,3961.631836,1009.401428,1.5
-951.479614,3957.780029,1009.140137,1.508333333
-951.300171,3953.775635,1008.82019,1.516666667
-951.098877,3949.842041,1008.451965,1.525
-950.697876,3945.772705,1008.010376,1.533333333
-950.468201,3941.693604,1007.528809,1.541666667
-950.098999,3937.515137,1006.9953,1.55
-949.695801,3933.388184,1006.329773,1.558333333
-949.327759,3929.020264,1005.698792,1.566666667
-948.958313,3924.7229,1005.028381,1.575
-948.44104,3920.505615,1004.262207,1.583333333
-948.092041,3916.164551,1003.575562,1.591666667
-947.503662,3911.744141,1002.804138,1.6
-947.030273,3907.390869,1001.982117,1.608333333
-946.47406,3902.833496,1001.174438,1.616666667
-945.940796,3898.287842,1000.347168,1.625
-945.347046,3893.765137,999.58374,1.633333333
-944.840576,3889.21582,998.69751,1.641666667
-944.223572,3884.531738,997.88916,1.65
-943.539368,3879.958984,997.077271,1.658333333
-942.925232,3875.29541,996.277161,1.666666667
-942.151611,3870.528564,995.4104,1.675
-941.539429,3865.838867,994.612183,1.683333333
-940.805969,3860.940186,993.731689,1.691666667
-940.141052,3856.122559,992.959412,1.7
-939.410217,3851.296875,992.148682,1.708333333
-938.670044,3846.25415,991.487122,1.716666667
-937.903564,3841.389893,990.660339,1.725
-937.135132,3836.396729,989.884521,1.733333333
-936.195618,3831.260254,988.949158,1.741666667
-935.41864,3826.207275,988.13269,1.75
-934.535767,3821.001953,987.332581,1.758333333
-933.5448,3815.709473,986.567444,1.766666667
-932.531311,3810.473389,985.610779,1.775
-931.522522,3805.225342,984.780945,1.783333333
-930.45752,3799.93335,984.070618,1.791666667
-929.280396,3794.606445,983.12854,1.8
-928.074341,3789.17627,982.328491,1.808333333
-926.989502,3783.762451,981.441956,1.816666667
-925.643494,3778.255371,980.530457,1.825
-924.462585,3772.686035,979.749329,1.833333333
-923.036316,3767.295898,978.899109,1.841666667
-921.761414,3761.664307,978.126709,1.85
-920.275757,3756.094238,977.443176,1.858333333
-918.870483,3750.648438,976.692627,1.866666667
-917.504333,3745.142334,976.005615,1.875
-915.986877,3739.527832,975.200073,1.883333333
-914.637573,3733.891846,974.519409,1.891666667
-913.184753,3728.267578,973.718384,1.9
-911.812866,3722.519775,973.208557,1.908333333
-910.408081,3716.948242,972.496216,1.916666667
-908.921814,3711.095459,971.908569,1.925
-907.617126,3705.550781,971.204163,1.933333333
-906.226196,3699.701416,970.558167,1.941666667
-904.792603,3693.994141,969.793091,1.95
-903.558411,3688.270264,969.259399,1.958333333
-902.153564,3682.413574,968.488098,1.966666667
-900.86615,3676.65625,967.785095,1.975
-899.597168,3670.844971,967.153442,1.983333333
-898.369263,3664.952881,966.52887,1.991666667
-897.101379,3659.427734,965.948242,2
-895.882446,3653.466797,965.220886,2.008333333
-894.625366,3647.740723,964.550049,2.016666667
-893.416382,3641.8479,964.003235,2.025
-892.149109,3636.153076,963.294006,2.033333333
-890.997009,3630.381348,962.624878,2.041666667
-889.789734,3624.735352,962.027466,2.05
-888.661377,3618.836426,961.257568,2.058333333
-887.447144,3612.930176,960.460449,2.066666667
-886.279358,3607.143555,959.581421,2.075
-885.226624,3601.495117,958.821411,2.083333333
-884.222229,3595.886475,958.302612,2.091666667
-882.81488,3589.728271,957.601257,2.1
-881.494507,3583.991211,956.818909,2.108333333
-880.298401,3578.185059,955.905151,2.116666667
-879.077698,3572.475586,955.237549,2.125
-877.696838,3566.527588,954.560608,2.133333333
-876.500183,3560.736816,953.913818,2.141666667
-875.206726,3554.853516,953.245422,2.15
-873.825134,3548.919189,952.450745,2.158333333
-872.702209,3543.258789,952.090942,2.166666667
-871.514465,3537.231445,951.745605,2.175
-870.416748,3531.391602,951.455139,2.183333333
-869.338684,3525.66748,951.195618,2.191666667
-868.272766,3519.683594,951.090942,2.2
-867.069275,3513.703857,950.84375,2.208333333
-866.071655,3507.60791,950.738159,2.216666667
-865.188782,3501.27832,950.706421,2.225
-864.312195,3494.964111,951.000671,2.233333333
-863.481873,3488.600586,951.447754,2.241666667
-862.69043,3482.192627,952.010925,2.25
-861.925842,3475.567139,952.598938,2.258333333
-861.177734,3468.893066,953.162109,2.266666667
-860.532776,3461.71875,953.946777,2.275
-859.881836,3454.553955,955.033325,2.283333333
-859.397217,3447.193604,956.315002,2.291666667
-858.876404,3439.559082,957.612732,2.3
-858.42926,3431.866211,959.015076,2.308333333
-858.183044,3424.001221,960.719482,2.316666667
-857.807556,3415.41333,962.697144,2.325
-857.641785,3407.213867,964.986938,2.333333333
-857.573608,3398.709717,967.173584,2.341666667
-857.362183,3390.099121,969.483765,2.35
-857.16156,3381.161133,971.718262,2.358333333
-857.210144,3371.806396,974.298157,2.366666667
-857.360229,3362.391113,976.989624,2.375
-857.480103,3352.874023,980.035828,2.383333333
-857.682739,3343.030518,983.169373,2.391666667
-857.670288,3333.178955,986.22937,2.4
-857.099304,3322.819336,989.266541,2.408333333
-856.850159,3312.362793,992.433411,2.416666667
-857.058716,3301.922852,995.956116,2.425
-857.245728,3291.375,999.616943,2.433333333
-857.452759,3280.595215,1003.219482,2.441666667
-857.59613,3269.678955,1006.845703,2.45
-857.585388,3258.695068,1010.271423,2.458333333
-857.708313,3247.476318,1013.591553,2.466666667
-857.957336,3236.159668,1017.263062,2.475
-858.086853,3224.649658,1021.066284,2.483333333
-858.310303,3213.25293,1024.739502,2.491666667
-858.409912,3201.769287,1028.046875,2.5
-858.387451,3189.957031,1031.106567,2.508333333
-858.445007,3178.087402,1034.151978,2.516666667
-858.416748,3165.947998,1037.018799,2.525
-858.648499,3153.82373,1039.925049,2.533333333
-858.740173,3141.617432,1042.721191,2.541666667
-858.935181,3129.466309,1045.03894,2.55
-859.01178,3117.272461,1047.081177,2.558333333
-859.221741,3104.866211,1048.959717,2.566666667
-859.434814,3092.412354,1050.448853,2.575
-859.659973,3079.803955,1051.87207,2.583333333
-860.085815,3067.362061,1052.917114,2.591666667
-860.430908,3055.082275,1053.575317,2.6
-860.73114,3042.536377,1053.98645,2.608333333
-861.066711,3030.057861,1053.713989,2.616666667
-861.564026,3017.937988,1053.230713,2.625
-862.274048,3005.813721,1052.356079,2.633333333
-862.682129,2993.468994,1051.214722,2.641666667
-862.703186,2981.463135,1049.348389,2.65
-863.127441,2969.750977,1047.114258,2.658333333
-863.156982,2957.73999,1044.123657,2.666666667
-863.389404,2946.524658,1040.834351,2.675
-863.154785,2934.948975,1036.967651,2.683333333
-863.01001,2923.958984,1032.709351,2.691666667
-862.643799,2913.0271,1027.935059,2.7
-862.356873,2902.735107,1022.612793,2.708333333
-861.755676,2892.351562,1016.737366,2.716666667
-861.526184,2882.67749,1010.169739,2.725
-860.795349,2872.800781,1003.144409,2.733333333
-859.996399,2863.701904,995.842041,2.741666667
-858.956543,2854.322266,987.852173,2.75
-857.62207,2845.911621,979.611511,2.758333333
-856.329224,2838.47876,970.734802,2.766666667
-854.665527,2830.86377,961.532349,2.775
-853.046387,2823.918701,951.934875,2.783333333
-851.724915,2818.163818,942.138184,2.791666667
-850.066345,2812.493164,931.92395,2.8
-848.70752,2807.460693,921.627686,2.808333333
-847.343811,2803.603027,911.234253,2.816666667
-845.648743,2800.165527,900.653809,2.825
-843.908813,2797.195801,889.745789,2.833333333
-842.313904,2795.071045,879.094727,2.841666667
-839.86438,2793.443848,868.28363,2.85
-837.064758,2792.347412,857.194946,2.858333333
-834.40741,2792.020752,846.040588,2.866666667
-831.423279,2792.000977,834.834412,2.875
-828.560242,2792.395752,823.614807,2.883333333
-825.952942,2793.450195,812.561096,2.891666667
-823.385376,2795.213623,801.541992,2.9
-820.293152,2797.429443,790.647217,2.908333333
-817.102539,2800.391113,780.138062,2.916666667
-814.210266,2803.990234,769.737183,2.925
-811.28125,2807.94458,759.434448,2.933333333
-808.869141,2812.601074,749.697327,2.941666667
-806.314331,2817.640137,740.263062,2.95
-803.59967,2823.246582,731.197388,2.958333333
-800.98407,2829.465088,722.500488,2.966666667
-798.232971,2835.739746,713.951477,2.975
-795.695862,2842.505127,705.613647,2.983333333
-793.359802,2849.858643,697.820007,2.991666667
-790.97406,2857.849121,690.534668,3
-788.822083,2866.175293,683.85498,3.008333333
-786.663635,2874.759277,677.851074,3.016666667
-784.798035,2882.734131,672.721497,3.025
-783.308655,2892.584961,668.329956,3.033333333
-781.951477,2901.687012,664.714111,3.041666667
-780.55365,2911.182373,661.882874,3.05
-779.100403,2921.516846,659.778687,3.058333333
-777.05719,2931.005859,658.094116,3.066666667
-775.321899,2941.518799,657.079163,3.075
-773.622253,2952.357666,656.914185,3.083333333
-771.89325,2963.161865,657.352112,3.091666667
-769.883545,2974.58667,658.942139,3.1
-767.777039,2986.284912,661.445496,3.108333333
-765.691895,2998.117432,664.823792,3.116666667
-763.465881,3010.003418,669.280212,3.125
-761.27948,3021.710205,674.739746,3.133333333
-758.974121,3033.478271,681.291626,3.141666667
-756.665955,3045.071289,688.969604,3.15
-754.171631,3056.480713,697.783936,3.158333333
-751.595215,3067.533203,707.771484,3.166666667
-749.135498,3078.048828,718.846313,3.175
-746.73291,3088.271973,731.08844,3.183333333
-744.152344,3097.81958,744.267456,3.191666667
-741.461792,3107.418457,758.700195,3.2
-738.973633,3115.435059,774.058289,3.208333333
-736.521667,3123.271729,790.587219,3.216666667
-733.766418,3130.260742,808.12384,3.225
-731.133667,3136.407471,826.644348,3.233333333
-728.454773,3141.608398,846.115906,3.241666667
-725.78717,3145.736816,866.423523,3.25
-722.942017,3148.815918,887.456604,3.258333333
-720.081482,3150.611572,909.217407,3.266666667
-717.044312,3151.27124,931.538513,3.275
-714.173218,3150.885498,954.466248,3.283333333
-710.95636,3149.244629,977.800781,3.291666667
-707.519531,3146.52832,1001.693359,3.3
-704.192261,3142.687988,1025.773682,3.308333333
-700.619446,3138.009033,1050.253418,3.316666667
-697.048218,3132.268311,1075.069702,3.325
-693.219604,3125.625488,1100.045044,3.333333333
-689.426392,3118.131348,1125.209961,3.341666667
-685.578674,3109.718994,1150.441528,3.35
-681.798035,3100.529297,1175.795288,3.358333333
-677.901733,3090.447998,1201.05127,3.366666667
-674.139099,3079.605957,1226.026489,3.375
-670.698303,3068.009277,1250.950317,3.383333333
-667.212097,3055.615723,1275.633545,3.391666667
-663.548279,3042.451172,1299.963135,3.4
-659.927185,3028.531006,1323.93457,3.408333333
-656.177185,3013.626953,1347.422241,3.416666667
-652.457214,2998.057617,1370.297974,3.425
-649.028015,2981.704346,1392.662476,3.433333333
-645.473999,2964.693848,1414.494019,3.441666667
-642.106628,2946.816162,1435.74707,3.45
-638.563599,2928.257324,1456.376099,3.458333333
-635.035461,2909.257568,1476.379395,3.466666667
-631.719543,2889.768555,1495.534424,3.475
-628.549194,2869.776367,1514.129272,3.483333333
-625.0271,2849.296875,1531.966919,3.491666667
-621.745422,2828.232422,1549.05957,3.5
-618.709351,2806.810059,1565.512817,3.508333333
-615.763062,2785.025146,1581.234131,3.516666667
-612.915894,2763.129395,1596.105713,3.525
-610.082275,2740.875488,1610.039429,3.533333333
-607.521179,2718.513184,1623.258667,3.541666667
-605.109253,2695.770996,1635.795898,3.55
-602.913452,2672.842773,1647.408936,3.558333333
-600.927246,2649.773682,1658.222168,3.566666667
-599.074097,2626.612061,1668.314819,3.575
-597.113159,2603.407959,1677.668091,3.583333333
-595.573425,2580.185791,1686.164795,3.591666667
-594.140381,2556.951172,1694.07959,3.6
-593.000061,2533.931152,1701.193481,3.608333333
-591.858948,2510.915039,1707.723755,3.616666667
-590.644043,2488.031006,1713.608398,3.625
-589.636841,2465.331543,1718.638062,3.633333333
-588.664368,2442.682373,1723.130493,3.641666667
-587.789368,2420.178711,1726.681763,3.65
-586.973145,2397.897949,1729.447876,3.658333333
-586.348267,2375.820312,1731.657593,3.666666667
-585.839722,2354.01416,1732.9646,3.675
-585.351318,2332.356201,1733.645508,3.683333333
-584.90271,2310.884521,1733.586914,3.691666667
