PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2936853876, -151.63128662109375, 6.130546569824219, 31.782550811767578, 0, 0, 0, 0, 0, 0, 
1, 2936862209, -151.73716735839844, 5.774385452270508, 31.894128799438477, -0.3167109191417694, -3.730463743209839, -9.874155044555664, -12.410375595092773, 30.247684478759766, -32.595890045166016, 
2, 2936870542, -151.89170837402344, 5.414848327636719, 32.02442932128906, -0.7932836413383484, -3.5687882900238037, -9.437384605407715, -18.424768447875977, 29.638486862182617, -34.698062896728516, 
3, 2936878875, -152.01889038085938, 5.0703864097595215, 32.1409912109375, -0.6401020884513855, -4.2090582847595215, -9.841754913330078, -14.848520278930664, 28.870250701904297, -32.32573318481445, 
4, 2936887208, -152.18624877929688, 4.730982303619385, 32.229942321777344, -0.6434091329574585, -4.289572238922119, -9.969064712524414, -19.350385665893555, 29.979637145996094, -29.059709548950195, 
5, 2936895541, -152.37582397460938, 4.394162654876709, 32.29869842529297, -0.9110199809074402, -4.317838191986084, -9.662216186523438, -21.705751419067383, 30.892683029174805, -26.67013168334961, 
6, 2936903874, -152.55264282226562, 4.060529708862305, 32.347408294677734, -0.8159045577049255, -4.6607346534729, -9.874686241149902, -20.00370216369629, 31.766742706298828, -24.281747817993164, 
7, 2936912207, -152.7771759033203, 3.7316572666168213, 32.38144302368164, -1.0561296939849854, -4.470101833343506, -9.61130428314209, -25.518335342407227, 32.12309265136719, -22.335041046142578, 
8, 2936920540, -152.9793701171875, 3.418591022491455, 32.4014778137207, -0.9287973046302795, -4.750426769256592, -9.876447677612305, -22.767969131469727, 31.304040908813477, -19.865461349487305, 
9, 2936928873, -153.19671630859375, 3.1216368675231934, 32.41612243652344, -1.1199678182601929, -4.218572616577148, -9.651763916015625, -24.477310180664062, 29.91856575012207, -18.289234161376953, 
10, 2936937206, -153.42286682128906, 2.8407630920410156, 32.423580169677734, -0.8976743221282959, -4.86452579498291, -10.068658828735352, -25.538734436035156, 28.673603057861328, -16.53931427001953, 
11, 2936945539, -153.65306091308594, 2.575723648071289, 32.4224967956543, -1.0613348484039307, -4.684195518493652, -10.005542755126953, -25.908985137939453, 27.470190048217773, -14.65328311920166, 
