PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2908084312, -157.498046875, 2.0966477394104004, 78.76850891113281, 0, 0, 0, 0, 0, 0, 
1, 2908092645, -157.50975036621094, 2.083904504776001, 78.77255249023438, -0.45092952251434326, -3.7738256454467773, -8.831378936767578, 0.20160965621471405, 1.079921841621399, -0.9534258842468262, 
2, 2908100978, -157.52194213867188, 2.0728161334991455, 78.78128051757812, -0.44663071632385254, -3.8345539569854736, -8.851006507873535, 0.002612651791423559, 0.690457284450531, -1.4320790767669678, 
3, 2908109311, -157.5354766845703, 2.0624794960021973, 78.7889404296875, -0.43537208437919617, -3.748933792114258, -8.865891456604004, -0.03425903990864754, 0.6495258212089539, -1.2417653799057007, 
4, 2908117644, -157.5497283935547, 2.0533483028411865, 78.79673767089844, -0.4422317147254944, -3.738955497741699, -8.891728401184082, -0.2375335991382599, 0.5327503681182861, -1.201704502105713, 
5, 2908125977, -157.567138671875, 2.042919635772705, 78.80213165283203, -0.4682537019252777, -3.7783892154693604, -8.859260559082031, -0.48793837428092957, 0.7631248831748962, -0.9956124424934387, 
6, 2908134310, -157.58033752441406, 2.036055326461792, 78.81046295166016, -0.4448353052139282, -3.875610589981079, -8.854954719543457, -0.11870918422937393, 0.22955478727817535, -1.2212483882904053, 
7, 2908142643, -157.5923614501953, 2.0301716327667236, 78.8205337524414, -0.41540125012397766, -3.8665759563446045, -8.922957420349121, 0.1385473906993866, 0.045798253268003464, -1.30613374710083, 
8, 2908150976, -157.60252380371094, 2.0232603549957275, 78.82808685302734, -0.36305665969848633, -3.8475849628448486, -8.960359573364258, 0.25442618131637573, 0.3041434586048126, -1.0662821531295776, 
9, 2908159309, -157.61325073242188, 2.011575222015381, 78.83190155029297, -0.3365340232849121, -3.928219795227051, -8.974150657653809, 0.3200242519378662, 0.9752874970436096, -0.8778894543647766, 
10, 2908167642, -157.62062072753906, 2.0002951622009277, 78.83380126953125, -0.3708677589893341, -3.7859067916870117, -8.90472412109375, 0.6210170984268188, 1.0900392532348633, -0.5444433689117432, 
11, 2908175975, -157.6265106201172, 1.9891619682312012, 78.83602142333984, -0.3273785412311554, -4.018016338348389, -8.927671432495117, 0.907717227935791, 0.9857893586158752, -0.6761261224746704, 
12, 2908184308, -157.6277313232422, 1.97967529296875, 78.8388900756836, -0.3248366117477417, -3.87188720703125, -8.900818824768066, 1.3473855257034302, 0.8078473210334778, -0.6547382473945618, 
13, 2908192641, -157.62786865234375, 1.9704840183258057, 78.8447036743164, -0.29077136516571045, -3.8913257122039795, -8.936110496520996, 1.5839329957962036, 0.6068524718284607, -0.9850850105285645, 
14, 2908200974, -157.62339782714844, 1.9614250659942627, 78.84880065917969, -0.2892734408378601, -3.8353796005249023, -8.95317268371582, 2.021014451980591, 0.6765999794006348, -0.8346269726753235, 
15, 2908209307, -157.6171417236328, 1.950133204460144, 78.85108184814453, -0.28621217608451843, -3.8813061714172363, -8.957555770874023, 2.366421937942505, 1.0005943775177002, -0.6891637444496155, 
16, 2908217640, -157.6056365966797, 1.9374271631240845, 78.85225677490234, -0.34458625316619873, -3.8764874935150146, -8.879173278808594, 2.885136127471924, 1.242674708366394, -0.6236681342124939, 
17, 2908225973, -157.59042358398438, 1.9243074655532837, 78.85521697998047, -0.3147939443588257, -3.914130210876465, -8.896821975708008, 3.436123847961426, 1.1731832027435303, -0.8471267819404602, 
