X,Y,Z
-596.212891,3393.703369,1027.624878
-596.082275,3393.934814,1027.338623
-595.944885,3394.180176,1027.046631
-595.801758,3394.438232,1026.75061
-595.654114,3394.707275,1026.451904
-595.503479,3394.98584,1026.15271
-595.351135,3395.273926,1025.854126
-595.198914,3395.570068,1025.557007
-595.04834,3395.874268,1025.262695
-594.900879,3396.186523,1024.97168
-594.757935,3396.507812,1024.684692
-594.620422,3396.838379,1024.401367
-594.489014,3397.179688,1024.122192
-594.364197,3397.532227,1023.846619
-594.246094,3397.897217,1023.573853
-594.134338,3398.274658,1023.302551
-594.028381,3398.664795,1023.030884
-593.927551,3399.067627,1022.75647
-593.831177,3399.481201,1022.476196
-593.738586,3399.904541,1022.186401
-593.649292,3400.334717,1021.882874
-593.562866,3400.769531,1021.561279
-593.479431,3401.205322,1021.216736
-593.399536,3401.638428,1020.84436
-593.324036,3402.066162,1020.439148
-593.254089,3402.484863,1019.996521
-593.191467,3402.891113,1019.511963
-593.137634,3403.283447,1018.980957
-593.09436,3403.65918,1018.399719
-593.063171,3404.01709,1017.764587
-593.045288,3404.35791,1017.072083
-593.041504,3404.680664,1016.319275
-593.051819,3404.987793,1015.503784
-593.075867,3405.280029,1014.623291
-593.112793,3405.561035,1013.676392
-593.160889,3405.833252,1012.661804
-593.218262,3406.100342,1011.579041
-593.282837,3406.366943,1010.428101
-593.35199,3406.637207,1009.209656
-593.423706,3406.916016,1007.924805
-593.495728,3407.208496,1006.575806
-593.566284,3407.519531,1005.165344
-593.633972,3407.854736,1003.696777
-593.697632,3408.21875,1002.174133
-593.756653,3408.616211,1000.602112
-593.810791,3409.051758,998.98584
-593.85968,3409.528809,997.330688
-593.903015,3410.050537,995.642334
-593.940186,3410.620117,993.926575
-593.97052,3411.239502,992.188965
-593.992554,3411.90918,990.435059
-594.00415,3412.629883,988.669739
-594.003052,3413.401367,986.897949
-593.985962,3414.222656,985.123962
-593.949829,3415.093262,983.351868
-593.891174,3416.010742,981.585632
-593.806946,3416.974854,979.828613
-593.694336,3417.983398,978.084595
-593.551453,3419.034912,976.357178
-593.377563,3420.12915,974.650269
-593.173157,3421.265381,972.967957
-592.939758,3422.443604,971.314941
-592.680542,3423.664062,969.695984
-592.399841,3424.92749,968.116272
-592.102966,3426.234131,966.581421
-591.795837,3427.585205,965.096924
-591.484863,3428.980225,963.66864
-591.175964,3430.418701,962.30188
-590.875,3431.898926,961.001892
-590.586731,3433.41748,959.77301
-590.314636,3434.970703,958.618958
-590.061218,3436.55249,957.542664
-589.82782,3438.155518,956.545715
-589.614441,3439.771729,955.628723
-589.420288,3441.391113,954.791321
-589.243774,3443.00415,954.03186
-589.082886,3444.600098,953.348206
-588.935913,3446.168701,952.737183
-588.801208,3447.700684,952.195496
-588.677429,3449.187988,951.719543
-588.564148,3450.623047,951.305725
-588.461731,3452.001465,950.950745
-588.370911,3453.320557,950.651428
-588.293213,3454.579102,950.40509
-588.230042,3455.778809,950.20929
-588.183044,3456.922119,950.062256
-588.153687,3458.013428,949.962036
-588.142578,3459.057861,949.90686
-588.149841,3460.060059,949.89502
-588.174744,3461.025635,949.924377
-588.215698,3461.958984,949.992676
-588.270447,3462.863525,950.097229
-588.335999,3463.742188,950.234741
-588.409058,3464.597168,950.401794
-588.486206,3465.429199,950.59436
-588.563904,3466.238281,950.808044
-588.639099,3467.023926,951.038574
-588.708801,3467.785156,951.281616
-588.771179,3468.520996,951.532837
-588.824402,3469.230469,951.788452
-588.867737,3469.912842,952.044983
-588.90094,3470.567871,952.299622
-588.924255,3471.196289,952.55011
-588.938293,3471.797607,952.794678
-588.944092,3472.374023,953.032166
-588.9422,3472.925781,953.261963
-588.933655,3473.455322,953.483337
-588.918884,3473.963623,953.696167
-588.898315,3474.452393,953.900391
-588.87207,3474.92334,954.09552
-588.840515,3475.377441,954.281677
-588.803894,3475.815674,954.458374
-588.762634,3476.23999,954.625427
-588.717896,3476.650146,954.782715
-588.670776,3477.047852,954.930237
-588.623535,3477.432617,955.068176
-588.578369,3477.805664,955.196899
-588.538269,3478.165527,955.317322
-588.506531,3478.513184,955.430359
-588.48645,3478.8479,955.537537
-588.481262,3479.169434,955.640564
-588.494141,3479.476318,955.740967
-588.527649,3479.768311,955.840881
-588.583862,3480.044434,955.941956
-588.664062,3480.304443,956.045959
-588.768433,3480.547607,956.154419
-588.896423,3480.77417,956.268433
-589.04657,3480.983398,956.388977
-589.216553,3481.176758,956.516541
-589.403015,3481.354736,956.651611
-589.602661,3481.518555,956.794189
-589.81134,3481.669678,956.943909
-590.024963,3481.810547,957.100586
-590.239441,3481.942871,957.263306
-590.450989,3482.069336,957.431458
-590.656067,3482.192383,957.604065
-590.851501,3482.314209,957.780212
-591.03479,3482.437256,957.959045
-591.204163,3482.564209,958.139587
-591.358582,3482.696533,958.321045
-591.497742,3482.835938,958.502563
-591.621826,3482.984619,958.683533
-591.731812,3483.143066,958.863464
-591.829041,3483.312012,959.041565
-591.915527,3483.49292,959.217468
-591.993164,3483.684814,959.390869
-592.063721,3483.888184,959.561401
-592.129211,3484.102539,959.72876
-592.191223,3484.327393,959.893005
-592.250916,3484.562012,960.053711
-592.309387,3484.805908,960.210938
-592.367371,3485.05835,960.364258
-592.424927,3485.318359,960.513733
-592.482605,3485.586426,960.658813
-592.540527,3485.861328,960.799133
-592.598572,3486.143311,960.934631
-592.657166,3486.432617,961.064697
-592.716614,3486.729492,961.189148
-592.77771,3487.033936,961.307861
-592.84137,3487.346924,961.421021
-592.908752,3487.668457,961.528503
-592.981201,3487.999512,961.630859
-593.060364,3488.339111,961.72876
-593.147949,3488.688477,961.822632
-593.245361,3489.045654,961.913574
-593.35437,3489.410645,962.002502
-593.476257,3489.781494,962.090454
-593.611938,3490.156738,962.178711
-593.762451,3490.534424,962.268372
