X,Y,Z
-578.093567,3420.326416,957.727722
-578.081055,3420.209717,958.189819
-578.066895,3420.121338,958.611572
-578.052368,3420.059814,958.991943
-578.038879,3420.023682,959.3302
-578.027954,3420.01001,959.62561
-578.021179,3420.018799,959.877502
-578.019531,3420.048828,960.08551
-578.024536,3420.098633,960.249146
-578.036987,3420.168457,960.368103
-578.057617,3420.258057,960.442322
-578.087097,3420.368164,960.471558
-578.12561,3420.499268,960.455811
-578.173096,3420.653564,960.395447
-578.229492,3420.831787,960.290344
-578.294128,3421.035645,960.141113
-578.366516,3421.268311,959.948059
-578.445984,3421.531006,959.711731
-578.531494,3421.826172,959.432861
-578.622498,3422.155273,959.112305
-578.718018,3422.520996,958.750854
-578.817322,3422.924316,958.349548
-578.919739,3423.365967,957.909424
-579.024658,3423.847656,957.431519
-579.131714,3424.368408,956.91687
-579.240601,3424.928711,956.366333
-579.351257,3425.526855,955.781006
-579.463501,3426.161865,955.161316
-579.577637,3426.831055,954.507996
-579.693848,3427.531982,953.821045
-579.812866,3428.260742,953.100647
-579.935242,3429.01416,952.346313
-580.061707,3429.788086,951.557312
-580.19342,3430.577393,950.732971
-580.331116,3431.376953,949.871826
-580.476074,3432.181885,948.972412
-580.629272,3432.987305,948.033081
-580.791931,3433.787842,947.051941
-580.964966,3434.579102,946.027222
-581.149414,3435.356445,944.957153
-581.345825,3436.116211,943.840271
-581.554626,3436.855469,942.675354
-581.776245,3437.572754,941.461548
-582.01062,3438.266602,940.198975
-582.257324,3438.937012,938.887878
-582.515808,3439.585938,937.529663
-582.785034,3440.215088,936.126343
-583.063599,3440.828369,934.680725
-583.350098,3441.429932,933.196533
-583.642517,3442.025146,931.67804
-583.938843,3442.619629,930.130798
-584.236694,3443.219727,928.560486
-584.533447,3443.832031,926.973694
-584.826843,3444.463135,925.377563
-585.113953,3445.119873,923.779663
-585.392212,3445.808594,922.188171
-585.65918,3446.536621,920.61145
-585.912354,3447.309082,919.058167
-586.149475,3448.132812,917.537048
-586.36853,3449.012695,916.057129
-586.567627,3449.954834,914.627075
-586.745422,3450.963135,913.255432
-586.900635,3452.041504,911.950439
-587.032471,3453.192871,910.719543
-587.14032,3454.418701,909.569519
-587.22406,3455.718994,908.505981
-587.283997,3457.091797,907.533325
-587.320435,3458.533203,906.654907
-587.334778,3460.037354,905.872131
-587.328064,3461.596436,905.184998
-587.302368,3463.199707,904.592041
-587.259888,3464.834229,904.090088
-587.203369,3466.486572,903.674927
-587.135925,3468.141113,903.34082
-587.060974,3469.781738,903.081543
-586.982361,3471.392822,902.890076
-586.904175,3472.959229,902.759399
-586.830444,3474.467041,902.682556
-586.765259,3475.904297,902.652893
-586.712646,3477.260986,902.664734
-586.676025,3478.53125,902.712769
-586.658264,3479.710938,902.792725
-586.661499,3480.799072,902.901489
-586.687256,3481.796875,903.036255
-586.735657,3482.709961,903.195129
-586.80603,3483.543457,903.376831
-586.896667,3484.305664,903.580261
-587.004639,3485.005127,903.804382
-587.126404,3485.651123,904.04834
-587.257812,3486.252441,904.310974
-587.393799,3486.818604,904.591187
-587.529724,3487.357178,904.887573
-587.6604,3487.875488,905.198547
-587.781311,3488.379639,905.522644
-587.88855,3488.875244,905.858398
-587.978455,3489.366211,906.204468
-588.048889,3489.856689,906.56012
-588.097961,3490.348633,906.924805
-588.125305,3490.844971,907.298706
-588.130981,3491.346924,907.682495
-588.11615,3491.856201,908.077454
-588.082581,3492.373779,908.485657
-588.032227,3492.900391,908.909302
-587.967773,3493.436279,909.351379
-587.891479,3493.981445,909.815125
-587.805847,3494.534912,910.303833
-587.713501,3495.09668,910.821289
-587.616394,3495.663574,911.371216
-587.516418,3496.235107,911.957703
-587.41571,3496.807373,912.584778
-587.315796,3497.377686,913.256531
-587.218689,3497.942139,913.977417
-587.126404,3498.497314,914.752136
-587.041077,3499.038574,915.585205
-586.965637,3499.561523,916.48175
-586.903076,3500.061768,917.446594
-586.857178,3500.534424,918.485107
-586.83197,3500.975586,919.602173
-586.832153,3501.379883,920.802551
-586.86261,3501.744141,922.09082
-586.928589,3502.062744,923.470886
-587.035278,3502.333008,924.946167
-587.187927,3502.549805,926.519226
-587.391663,3502.710449,928.191467
-587.651001,3502.810791,929.963806
-587.970215,3502.847656,931.835999
-588.352478,3502.818848,933.80658
-588.80072,3502.72168,935.873413
-589.316528,3502.555176,938.033142
-589.900818,3502.317139,940.281738
-590.552979,3502.008789,942.613892
-591.271973,3501.62915,945.023682
-592.055176,3501.180664,947.504272
-592.899231,3500.664795,950.048035
-593.799438,3500.084717,952.646606
-594.750244,3499.444092,955.290833
-595.7453,3498.74707,957.971191
-596.777466,3497.998779,960.677246
-597.838623,3497.203857,963.398438
-598.920654,3496.36792,966.12384
-600.014465,3495.496094,968.842163
-601.111023,3494.593506,971.542358
-602.201172,3493.665283,974.21344
-603.275696,3492.715088,976.844666
-604.325623,3491.746338,979.425781
-605.342041,3490.763184,981.946899
-606.316406,3489.766357,984.398743
-607.240234,3488.757324,986.772583
-608.105652,3487.737061,989.060303
-608.904724,3486.704834,991.25415
-609.629456,3485.659668,993.346985
-610.272156,3484.599854,995.331909
-610.825439,3483.523682,997.202271
-611.281433,3482.429199,998.951843
-611.632996,3481.314941,1000.574341
-611.872925,3480.178955,1002.063965
-611.994568,3479.021484,1003.415344
-611.992004,3477.843018,1004.623047
-611.860352,3476.64502,1005.682922
-611.595947,3475.430908,1006.591309
-611.196716,3474.206055,1007.345886
-610.662354,3472.976562,1007.945801
-609.994446,3471.750977,1008.391235
-609.196899,3470.538818,1008.685242
-608.275452,3469.35083,1008.832092
-607.238037,3468.199463,1008.83844
-606.09436,3467.096436,1008.712524
-604.855835,3466.054443,1008.465149
-603.535095,3465.084961,1008.108276
-602.146118,3464.199707,1007.655029
-600.703186,3463.408447,1007.119995
-599.221375,3462.718506,1006.517883
-597.715698,3462.136475,1005.86377
-596.201111,3461.666016,1005.172119
-594.692261,3461.310303,1004.457092
-593.202942,3461.068604,1003.731506
-591.746399,3460.938721,1003.006836
-590.334534,3460.91748,1002.292969
-588.978577,3460.999512,1001.598694
-587.688171,3461.179199,1000.93042
-586.471436,3461.449951,1000.293396
-585.33551,3461.804199,999.690735
-584.285522,3462.234375,999.124695
-583.325256,3462.733643,998.595947
-582.457214,3463.295166,998.104004
-581.682129,3463.912842,997.647583
-580.999756,3464.579834,997.224487
-580.408264,3465.29126,996.832336
-579.904968,3466.043213,996.467834
-579.486267,3466.831055,996.127686
-579.147583,3467.652344,995.808167
-578.883911,3468.503662,995.50592
-578.689575,3469.384521,995.217102
-578.559021,3470.291748,994.937988
-578.486084,3471.225586,994.665405
-578.464905,3472.184326,994.395691
-578.489624,3473.167725,994.125732
-578.554504,3474.175049,993.852661
-578.654663,3475.205322,993.57373
-578.785034,3476.258301,993.286438
-578.941711,3477.332031,992.988586
-579.120789,3478.425537,992.678162
-579.319397,3479.536621,992.353455
-579.534912,3480.662842,992.012939
-579.765076,3481.800781,991.655151
-580.008423,3482.947266,991.279114
-580.263306,3484.098145,990.883667
-580.528564,3485.249023,990.468079
-580.802734,3486.394287,990.031677
-581.084534,3487.529541,989.573914
-581.372375,3488.64917,989.094604
-581.664368,3489.747559,988.593567
-581.958618,3490.819824,988.071106
-582.252502,3491.861572,987.527466
-582.543762,3492.868164,986.963684
-582.829834,3493.836182,986.380554
-583.108276,3494.762695,985.779663
-583.376648,3495.645508,985.162415
-583.633118,3496.483154,984.531067
-583.876099,3497.275635,983.887634
-584.104431,3498.022461,983.234558
-584.317383,3498.724854,982.574463
-584.515076,3499.384033,981.909607
-584.697693,3500.001221,981.242676
-584.865601,3500.578613,980.575623
-585.019775,3501.117676,979.910522
-585.160889,3501.621094,979.248901
-585.289917,3502.090332,978.591919
-585.407288,3502.527344,977.940247
-585.513794,3502.934326,977.294128
-585.609619,3503.3125,976.653503
-585.694824,3503.664551,976.017761
-585.769714,3503.991699,975.386047
-585.834412,3504.295898,974.757568
-585.888794,3504.57959,974.131165
-585.933655,3504.844727,973.50592
-585.969299,3505.093262,972.880981
-585.996887,3505.328857,972.255676
-586.017639,3505.552734,971.629578
-586.033386,3505.768066,971.002625
-586.045837,3505.977051,970.374939
-586.057251,3506.182617,969.747009
-586.069397,3506.386719,969.119446
-586.084473,3506.591064,968.493164
-586.104187,3506.797119,967.868958
-586.129883,3507.006104,967.248047
-586.162598,3507.218994,966.631409
-586.202637,3507.436035,966.020081
-586.250061,3507.656494,965.415161
-586.304443,3507.880371,964.817627
-586.364746,3508.106689,964.228577
-586.429688,3508.333496,963.648682
-586.497803,3508.559326,963.078918
-586.5672,3508.781982,962.520264
-586.636169,3508.999023,961.973572
-586.702942,3509.208496,961.439636
-586.765869,3509.406982,960.919434
-586.823486,3509.592529,960.413757
-586.874573,3509.761475,959.923584
-586.918091,3509.911621,959.449768
-586.953613,3510.040039,958.993164
-586.980835,3510.144287,958.554688
-586.999512,3510.222168,958.13501
-587.010254,3510.27124,957.735107
