PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11,time_seconds,Acc_Z_derivative
0,2978585540,20.885427474975582,-87.51242065429688,-165.91075134277344,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,25.378371477127068
1,2978593873,20.81968307495117,-87.51604461669922,-165.8404083251953,9.832265853881836,-0.1052600666880607,0.2114864289760589,1.237128973007202,-2.219601392745972,0.6333246827125549, ,0.008333333333333333,14.193980097770687
2,2978602206,20.810535430908203,-87.5157241821289,-165.82711791992188,9.804668426513672,-0.0994390845298767,0.2365663349628448,1.0656673908233645,-2.1930651664733887,0.5858103632926941, ,0.016666666666666666,0.673869252204895
3,2978610539,20.72624015808105,-87.51793670654297,-165.73895263671875,9.778972625732422,-0.0860589519143104,0.2227175831794738,1.1416393518447876,-2.0659162998199463,0.6762543320655823, ,0.025,0.4441693425178581
4,2978618872,20.685237884521484,-87.5195083618164,-165.69309997558594,9.81443691253662,-0.0726061835885047,0.2439691573381424,1.1548306941986084,-2.32433819770813,0.8143661618232727, ,0.03333333333333333,2.8403735160827672
5,2978627205,20.613191604614254,-87.5232162475586,-165.61782836914062,9.809286117553713,-0.0914795398712158,0.2700571417808532,1.0664103031158447,-2.242372751235962,0.6675710678100586, ,0.041666666666666664,0.8296403288841283
6,2978635538,20.599639892578125,-87.524169921875,-165.6002197265625,9.79210376739502,-0.0840745493769645,0.2577964961528778,1.061005711555481,-2.3016695976257324,0.6499228477478027, ,0.05,-4.278060793876648
7,2978643871,20.520538330078125,-87.52701568603516,-165.51809692382812,9.771709442138672,-0.0879868194460868,0.1987561285495758,1.0324459075927734,-2.185842037200928,0.685936450958252, ,0.058333333333333334,-2.8612777590751683
8,2978652204,20.528120040893555,-87.52693939208984,-165.52191162109375,9.80022144317627,-0.1402742564678192,0.210108533501625,1.0320104360580444,-2.243294715881348,0.5086346864700317, ,0.06666666666666667,1.4201706647872925
9,2978660537,20.50479888916016,-87.53042602539062,-165.49583435058594,9.805455207824709,-0.0889416486024856,0.222425639629364,0.9966883063316344,-2.3223915100097656,0.4253115952014923, ,0.075,1.5679094195365924
10,2978668870,20.54203414916992,-87.5291519165039,-165.52960205078125,9.798901557922363,-0.0840547606348991,0.2362403571605682,1.0018622875213623,-2.1735472679138184,0.3178854286670685, ,0.08333333333333333,1.7610776424407923
11,2978677203,20.53302764892578,-87.53176879882812,-165.51806640625,9.835152626037598,-0.0918613001704216,0.2517769336700439,0.993025541305542,-2.233125925064087,0.3122759461402893, ,0.09166666666666666,-1.217286586761471
12,2978685536,20.572341918945312,-87.5323257446289,-165.55392456054688,9.857827186584473,-0.0983075574040412,0.2159522473812103,0.9905921816825868,-2.3513355255126958,0.3730329573154449, ,0.1,-1.7441797256469638
13,2978693869,20.55558013916016,-87.53558349609375,-165.53427124023438,9.792667388916016,-0.0749185904860496,0.2227072715759277,1.0303198099136353,-2.3068950176239014,0.3844824731349945, ,0.10833333333333334,0.12683629989624023
14,2978702202,20.59347915649414,-87.536376953125,-165.5678253173828,9.831361770629885,-0.0826073884963989,0.2180661857128143,1.102218747138977,-2.3875539302825928,0.3994411528110504, ,0.11666666666666667,1.3951510190963763
15,2978710535,20.566761016845703,-87.53947448730469,-165.53797912597656,9.821015357971191,-0.0759553611278534,0.2459597885608673,1.0629523992538452,-2.27234148979187,0.428385317325592, ,0.125,1.7070052027702314
16,2978718868,20.583194732666016,-87.54090881347656,-165.55018615722656,9.800540924072266,-0.0935414209961891,0.2465162724256515,1.0889251232147217,-2.399592876434326,0.5223894715309143, ,0.13333333333333333,-2.2389185428619403
17,2978727201,20.529600143432617,-87.54497528076172,-165.49269104003906,9.790542602539062,-0.0849141404032707,0.2086444795131683,1.1450459957122805,-2.3445990085601807,0.6048161387443542, ,0.14166666666666666,-0.29644399881362915
18,2978735534,20.515480041503903,-87.54584503173828,-165.47352600097656,9.811176300048828,-0.0960094779729843,0.241575539112091,1.1817255020141602,-2.301951169967652,0.6570435166358948, ,0.15,3.0751544237136823
19,2978743867,20.44680595397949,-87.55079650878906,-165.40098571777344,9.8052978515625,-0.0983755961060524,0.2598970532417297,1.145148515701294,-2.399003744125366,0.708784282207489, ,0.15833333333333333,-1.2932583689689618
20,2978752200,20.44913673400879,-87.55159759521484,-165.3996124267578,9.822205543518066,-0.0965016633272171,0.2200212329626083,1.0190496444702148,-2.300901412963867,0.5585312843322754, ,0.16666666666666666,-2.706907689571379
21,2978760533,20.446990966796875,-87.55599975585938,-165.39405822753906,9.784530639648438,-0.0862619802355766,0.2147819250822067,1.106291651725769,-2.47725510597229,0.3695493936538696, ,0.175,1.8810251355171221
22,2978768866,20.488330841064453,-87.5577621459961,-165.4310760498047,9.810342788696287,-0.0853054076433181,0.2513716518878937,1.087260127067566,-2.478484630584717,0.4153476357460022, ,0.18333333333333332,2.506165802478792
